"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Friday August 6","test sophos","23.70","1","HD#1: 200 GB","200","208.08459502272307872772216796"
"Friday August 6","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650","845.6054955199360847473144531"
"Friday August 6","Jump-server-Abdo","160.57","1","HD#1: 500 GB","500","516.08653989620506763458251953"
"Friday August 6","Mis-SAP-H-DB","1621.09","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381352398544549942016601"
"Friday August 6","MISR-TSMS","55.21","1","HD#1: 60 GB","60","68.085887791588902473449707031"
"Friday August 6","Jump-Server-Moataz","27.45","1","HD#1: 100 GB","100","116.08619708940386772155761719"
"Friday August 6","Mis-Prod-APP-copy","440.99","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2336.3965178802609443664550781"
"Friday August 6","Misr-ERPPRDDB","2362.92","1","HD#1: 3072 GB","3072","3914.3841095278039574623107911"
"Friday August 6","RADUIS-Server","29.38","1","HD#1: 100 GB","100","108.08636411465704441070556641"
"Friday August 6","Mis-CAR-PRD APP Server","95.98","1","HD#1: 2048 GB","2048","2080.0943712228909134864807129"
"Friday August 6","frank-d35","4434.74","6","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 2048 GB, HD#5: 2048 GB, HD#6: 200 GB","8592","8616.094207666814327239990234"
"Friday August 6","sofos_virtual_vm8","8.88","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07912352308630943298339844"
"Friday August 6","el batal crm","136.23","1","HD#1: 340 GB","340","454.24749917630106210708618164"
"Friday August 6","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339371100068092346191406"
"Friday August 6","Mis-Manage","59.64","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08083434123545885086059571"
"Friday August 6","MIS-CRM-PRD APP Server","426.25","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413501156494021415710449"
"Friday August 6","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382860463112592697143555"
"Friday August 6","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479174505919218063354493"
"Friday August 6","EU1FE3113","185.75","1","HD#1: 500 GB","500","532.09505659062415361404418945"
"Friday August 6","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Friday August 6","EU1FE9333","166.91","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0938205858692526817321778"
"Friday August 6","Frank-ADC-02","37.04","1","HD#1: 100 GB","100","116.08666493091732263565063476"
"Friday August 6","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734254851937294006347656"
"Friday August 6","tiba group","27.56","1","HD#1: 500 GB","500","516.09328689333051443099975586"
"Friday August 6","EU1FE3110","183.82","1","HD#1: 500 GB","500","532.09493015985935926437377929"
"Friday August 6","frank-veeamone","43.71","1","HD#1: 200 GB","200","220.09330726787447929382324218"
"Friday August 6","Jump-Nada","43.96","1","HD#1: 200 GB","200","208.08656439837068319320678711"
"Friday August 6","Jump-Server-MAli","34.78","1","HD#1: 100 GB","100","116.08635711669921875000000000"
"Friday August 6","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Friday August 6","Frank-KSE-SQL","65.64","1","HD#1: 250 GB","250","266.08639828395098447799682617"
"Friday August 6","shared iso","13.52","1","HD#1: 300 GB","300","308.21294178161770105361938476"
"Friday August 6","Jump-Server-Karim","180.00","1","HD#1: 700 GB","700","716.08648691512644290924072266"
"Friday August 6","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08582243323326110839843750"
"Friday August 6","EU1FE9111","162.96","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0919142263010144233703613"
"Friday August 6","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421090308576822280883789"
"Friday August 6","Developers-VM6-Copy","32.71","1","HD#1: 500 GB","500","516.19584958162158727645874024"
"Friday August 6","EU1FE9444","173.14","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0940488660708069801330567"
"Friday August 6","Frank-PST-New01","6657.96","3","HD#1: 150 GB, HD#2: 2048 GB, HD#3: 5120 GB","7318","7334.0866566160693764686584472"
"Friday August 6","EU1FE3111","186.32","1","HD#1: 500 GB","500","532.09506234060972929000854492"
"Friday August 6","MISR-IVENDMC2","59.11","1","HD#1: 100 GB","100","116.09052837453782558441162109"
"Friday August 6","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930752556771039962768555"
"Friday August 6","jump-hamd","17.59","1","HD#1: 300 GB","300","308.08477263245731592178344727"
"Friday August 6","jump-wahba","35.64","1","HD#1: 100 GB","100","116.08659631013870239257812500"
"Friday August 6","jump-eslam","67.21","1","HD#1: 300 GB","300","308.08621090278029441833496094"
"Friday August 6","EventLog-Analyzer","21.13","1","HD#1: 500 GB","500","508.21374978311359882354736328"
"Friday August 6","Mis-ERP DEV-PRD APP Server","765.39","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0885569183155894279479980"
"Friday August 6","Sama","20.69","1","HD#1: 200 GB","200","208.08606969844549894332885742"
"Friday August 6","Frank-ADC-03","37.25","1","HD#1: 100 GB","100","116.08656883612275123596191406"
"Friday August 6","MIS-CRM-PRD DB Server","627.81","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000","2192.1419385550543665885925293"
"Friday August 6","nextcloud-nfs","4.29","1","HD#1: 500 GB","500","508.21238687727600336074829102"
"Friday August 6","Misr-Web Server-copy","50.85","1","HD#1: 80 GB","80","84.08267301879823207855224609"
"Friday August 6","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Friday August 6","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08681425452232360839843750"
"Friday August 6","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Friday August 6","MISR-CARQASAPP","198.79","1","HD#1: 1024 GB","1024","1160.1299599660560488700866700"
"Friday August 6","Frank-MBX","75.80","1","HD#1: 100 GB","100","132.09107109159231185913085938"
"Friday August 6","Misr-Newvm","46.83","1","HD#1: 100 GB","100","108.08212223928421735763549805"
"Friday August 6","Misr-SQL-Instance","800.75","1","HD#1: 1024 GB","1024","1280.1478246357291936874389648"
"Friday August 6","Office Libre-Production New 1104","34.13","1","HD#1: 160 GB","160","195.18874401971697807312011719"
"Friday August 6","Mis-Backup","2123.18","2","HD#1: 60 GB, HD#2: 3072 GB","3132","3140.0978267611935734748840332"
"Friday August 6","esxi2","59.70","1","HD#1: 1000 GB","1000","1016.0929236616939306259155274"
"Friday August 6","FortiGate","32.00","2","HD#1: 2 GB, HD#2: 30 GB","32","34.191491521894931793212890625"
"Friday August 6","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139664553105831146240235"
"Friday August 6","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Friday August 6","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Friday August 6","Frank-RODC-01","41.83","1","HD#1: 100 GB","100","116.08666743338108062744140625"
"Friday August 6","SQL-Server-Solid","213.34","2","HD#1: 450 GB, HD#2: 300 GB","750","768.09521398600190877914428711"
"Friday August 6","J-S-Hamd","10.41","1","HD#1: 100 GB","100","116.21309081837534904479980469"
"Friday August 6","HAProxy","7.84","1","HD#1: 300 GB","300","323.91443652287125587463378907"
"Friday August 6","EU100S602","50.25","1","HD#1: 200 GB","200","216.08661797922104597091674805"
"Friday August 6","sandbox","19.93","1","HD#1: 300 GB","300","316.21816515736281871795654296"
"Friday August 6","Mis-Winsows2012R2","864.89","4","HD#1: 150 GB, HD#2: 200 GB, HD#3: 700 GB, HD#4: 2048 GB","3098","3188.1205230969935655593872071"
"Friday August 6","WP-Frank-Database3","400.00","1","HD#1: 400 GB","400","416.21424897480756044387817383"
"Friday August 6","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Friday August 6","MISR-SAP-CARDB-copy","919.12","1","HD#1: 2048 GB","2048","2176.1419359445571899414062500"
"Friday August 6","ihpgco Kuwait Windows - Backup(new)","162.86","1","HD#1: 250 GB","250","254.08271383401006460189819336"
"Friday August 6","SolarWind-SAM","127.75","2","HD#1: 100 GB, HD#2: 200 GB","300","431.42869572713971138000488282"
"Friday August 6","jump-ahmed","32.92","1","HD#1: 400 GB","400","408.08632177114486694335937500"
"Friday August 6","Misr-ERPDEVDB","1529.03","1","HD#1: 2355.20 GB","2355.2","2925.3761374047026038169860840"
"Friday August 6","Frank-ADC-01","37.06","1","HD#1: 100 GB","100","116.08646817784756422042846680"
"Friday August 6","Misr-Tableau","126.36","1","HD#1: 150 GB","150","166.08615974709391593933105468"
"Friday August 6","WP-RootCA","63.23","1","HD#1: 100 GB","100","146.38404295034706592559814453"
"Friday August 6","MISR-NFS","11735.18","2","HD#1: 50 GB, HD#2: 13312 GB","13362","13366.085850878618657588958740"
"Friday August 6","Frank-DNS-MGMNT","50.64","2","HD#1: 100 GB, HD#2: 50 GB","150","166.08798336423933506011962890"
"Friday August 6","Mis-Additioanal Domain","23.48","1","HD#1: 50 GB","50","54.082172025926411151885986328"
"Friday August 6","Misr-Qatr","185.75","1","HD#1: 500 GB","500","655.92283984087407588958740234"
"Friday August 6","Frank-Kbase-Source","298.09","2","HD#1: 100 GB, HD#2: 1024 GB","1124","1140.0863716704770922660827637"
"Friday August 6","wp-frank-antivirus (DB)-cpoy","146.37","1","HD#1: 400 GB","400","416.21464536804705858230590820"
"Friday August 6","Misr-MTBIDEVAPP","216.66","2","HD#1: 500 GB, HD#2: 10 GB","510","719.04416160937398672103881836"
"Friday August 6","Frank-MBM-D36","1389.02","4","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 200 GB","4496","4520.0956974131986498832702637"
