"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Friday October 15","frank-veeamone","46.80","1","HD#1: 200 GB","200","266.30481263902038335800170898"
"Friday October 15","Ahmed-centos-test","21.64","1","HD#1: 100 GB","100","116.09240518789738416671752930"
"Friday October 15","Madkour-Sharepoint-01","42.68","1","HD#1: 200 GB","200","232.09279554244130849838256836"
"Friday October 15","Madkour-Exchange-01","42.27","1","HD#1: 200 GB","200","232.09285121224820613861083984"
"Friday October 15","EL-DoctorFortiGate-VM64","7.54","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08577591180801391601562500"
"Friday October 15","solex-S4-HANA-R5OJ-9/29","1577.06","2","HD#1: 200 GB, HD#2: 774 GB","974","2404.2275143861770629882812500"
"Friday October 15","Diyaa-Lap","66.14","1","HD#1: 100 GB","100","116.08515679836273193359375000"
"Friday October 15","Misr-Newvm","52.51","1","HD#1: 100 GB","100","108.08220901247113943099975586"
"Friday October 15","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Friday October 15","jump-hamd","17.84","1","HD#1: 300 GB","300","308.08647853787988424301147461"
"Friday October 15","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Friday October 15","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Friday October 15","Misr-MagentoDB1","28.83","1","HD#1: 512 GB","512","520.09374827891588211059570313"
"Friday October 15","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Friday October 15","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691153280436992645263672"
"Friday October 15","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Friday October 15","jump-ahmed","91.91","1","HD#1: 500 GB","500","508.08636648673564195632934570"
"Friday October 15","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Friday October 15","Jump-Server-Karim","200.39","1","HD#1: 700 GB","700","716.08692864049226045608520508"
"Friday October 15","solex-S4-HANA-R5OJ-15/10","2044.21","2","HD#1: 200 GB, HD#2: 774 GB","974","3015.3126920033246278762817383"
"Friday October 15","sofos_virtual_vm8","30.50","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07938671763986349105834961"
"Friday October 15","Jump-Server-Moataz","27.45","1","HD#1: 100 GB","100","116.0862244544550776481628418"
"Friday October 15","Mis-Additioanal Domain","23.81","1","HD#1: 50 GB","50","54.082169137895107269287109375"
"Friday October 15","Misr-MTBIDEVAPP","147.06","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10221171658486127853393555"
"Friday October 15","Misr-Web Server-copy","56.01","1","HD#1: 80 GB","80","84.08238201681524515151977539"
"Friday October 15","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706647250801324844360352"
"Friday October 15","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Friday October 15","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Friday October 15","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Friday October 15","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421687621623277664184571"
"Friday October 15","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Friday October 15","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Friday October 15","MISR-MTBIDEVDB","1070.36","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181145841255784034729004"
"Friday October 15","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.71","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Friday October 15","MISR-TSMS","56.16","1","HD#1: 60 GB","60","68.086984154768288135528564453"
"Friday October 15","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Friday October 15","Misr-TestDB","12.02","1","HD#1: 100 GB","100","104.08198060840368270874023438"
"Friday October 15","Mis-Prod-APP-copy","2280.93","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425590654835104942321777"
"Friday October 15","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Friday October 15","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958042025566101074218750"
"Friday October 15","Frank-OfficeOnline02","70.72","1","HD#1: 100 GB","100","125.08635520096868276596069336"
"Friday October 15","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08632453810423612594604492"
"Friday October 15","Madkour-Domain-controller","18.72","1","HD#1: 200 GB","200","208.08492664154618978500366211"
"Friday October 15","el batal crm","75.59","1","HD#1: 340 GB","340","372.20171984191983938217163086"
"Friday October 15","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Friday October 15","Frank-OfficeOnline01","82.34","1","HD#1: 100 GB","100","125.08793010096997022628784179"
"Friday October 15","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Friday October 15","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08651076257228851318359375"
"Friday October 15","Elbatal-newcrm","60.69","1","HD#1: 170 GB","170","202.08981615956872701644897460"
"Friday October 15","test sophos","160.18","1","HD#1: 200 GB","200","208.08796388842165470123291015"
"Friday October 15","MISR-CARQASAPP","198.96","1","HD#1: 1024 GB","1024","1160.1300649624317884445190430"
"Friday October 15","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
"Friday October 15","Frank-veeammonitor","29.03","1","HD#1: 200 GB","200","208.08604038599878549575805664"
"Friday October 15","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Friday October 15","ASFOUR-machine1","176.10","1","HD#1: 160 GB","160","176.10142624657601118087768554"
"Friday October 15","Sama","26.11","1","HD#1: 200 GB","200","208.08681188896298408508300781"
