"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Friday September 3","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360608778893947601318359"
"Friday September 3","IGI-AX DB","46.99","1","HD#1: 200 GB","200","202.08165415003895759582519532"
"Friday September 3","Elbatal-newcrm","21.69","1","HD#1: 170 GB","170","186.08503368590027093887329102"
"Friday September 3","Misr-TestDB","9.64","1","HD#1: 100 GB","100","104.08143761381506919860839844"
"Friday September 3","Misr-MagentoDB1","25.59","1","HD#1: 512 GB","512","520.09391433559358119964599610"
"Friday September 3","Misr-MagentoDB2","25.32","1","HD#1: 512 GB","512","520.09380612149834632873535157"
"Friday September 3","Misr-MagentoWeb1","14.69","1","HD#1: 256 GB","256","264.09418938867747783660888672"
"Friday September 3","Frank-Roaya-WebSite","24.51","1","HD#1: 300 GB","300","308.08489980269223451614379882"
"Friday September 3","Frank-WP-WebSite","44.14","1","HD#1: 300 GB","300","342.59607440978288650512695313"
"Friday September 3","Sap Router","24.08","1","HD#1: 20 GB","20","24.081061940640211105346679687"
"Friday September 3","Misr-MagentoWeb2","16.76","1","HD#1: 256 GB","256","264.09316156338900327682495118"
"Friday September 3","Solex-demo-ectr","584.74","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1012672567740082740783691"
"Friday September 3","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081352472305297851562500000"
"Friday September 3","SOLEX-SOLMAN-JAVA","123.19","1","HD#1: 300 GB","300","332.06113431602716445922851563"
"Friday September 3","test sophos","197.30","2","HD#1: 200 GB, HD#2: 40 GB","240","248.08649207279086112976074219"
"Friday September 3","ALFA-DAXRPT-COPY","633.27","1","HD#1: 650 GB","650","666.21661805361509323120117187"
"Friday September 3","Jump-server-Abdo","165.64","1","HD#1: 500 GB","500","516.08620198722928762435913086"
"Friday September 3","Mis-SAP-H-DB","1862.81","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381401656195521354675293"
"Friday September 3","MISR-TSMS","55.11","1","HD#1: 60 GB","60","68.086247627623379230499267578"
"Friday September 3","Jump-Server-Moataz","27.42","1","HD#1: 100 GB","100","116.08628778904676437377929688"
"Friday September 3","Mis-Prod-APP-copy","2295.45","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1424974156543612480163574"
"Friday September 3","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1785027524456381797790528"
"Friday September 3","RADUIS-Server","31.59","1","HD#1: 100 GB","100","108.08834124822169542312622070"
"Friday September 3","Mis-CAR-PRD APP Server","95.29","1","HD#1: 2048 GB","2048","2080.0944730127230286598205566"
"Friday September 3","sofos_virtual_vm8","23.39","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07935318537056446075439453"
"Friday September 3","el batal crm","165.09","1","HD#1: 340 GB","340","454.24778178427368402481079101"
"Friday September 3","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Friday September 3","Mis-Manage","60.10","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08006690070033073425292969"
"Friday September 3","MIS-CRM-PRD APP Server","426.78","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413561310619115829467774"
"Friday September 3","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382884463295340538024902"
"Friday September 3","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479699492454528808593750"
"Friday September 3","EU1FE3113","296.86","1","HD#1: 500 GB","500","532.09423111565411090850830078"
"Friday September 3","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Friday September 3","EU1FE9333","215.68","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0938630616292357444763184"
"Friday September 3","Frank-ADC-02","38.47","1","HD#1: 100 GB","100","116.08646245859563350677490234"
"Friday September 3","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734254851937294006347656"
"Friday September 3","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Friday September 3","EU1FE3110","272.30","1","HD#1: 500 GB","500","532.09504430182278156280517578"
"Friday September 3","frank-veeamone","45.72","1","HD#1: 200 GB","200","220.09336103964596986770629882"
"Friday September 3","Jump-Nada","44.16","1","HD#1: 200 GB","200","208.08666868414729833602905274"
"Friday September 3","Jump-Server-MAli","34.79","1","HD#1: 100 GB","100","116.08633824717253446578979493"
"Friday September 3","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Friday September 3","Frank-KSE-SQL","66.82","1","HD#1: 250 GB","250","266.08645305503159761428833008"
"Friday September 3","shared iso","13.52","1","HD#1: 300 GB","300","308.21294185519218444824218750"
"Friday September 3","Jump-Server-Karim","179.44","1","HD#1: 700 GB","700","716.08678023237735033035278321"
"Friday September 3","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08582571614533662796020507"
"Friday September 3","EU1FE9111","206.63","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0919454619288444519042969"
"Friday September 3","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421895017847418785095214"
"Friday September 3","Developers-VM6-Copy","32.71","1","HD#1: 500 GB","500","516.19584965519607067108154297"
"Friday September 3","EU1FE9444","221.29","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0941044427454471588134766"
"Friday September 3","Frank-PST-New01","5540.47","3","HD#1: 150 GB, HD#2: 2048 GB, HD#3: 5120 GB","7318","7334.0866641476750373840332031"
"Friday September 3","EU1FE3111","272.42","1","HD#1: 500 GB","500","532.09517315868288278579711914"
"Friday September 3","IGI-AD","15.45","1","HD#1: 32 GB","32","33.081909387372434139251708985"
"Friday September 3","MISR-IVENDMC2","73.13","1","HD#1: 100 GB","100","116.09059574734419584274291992"
"Friday September 3","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930753292515873908996582"
"Friday September 3","jump-hamd","17.75","1","HD#1: 300 GB","300","308.08635724335908889770507813"
"Friday September 3","jump-wahba","36.30","1","HD#1: 100 GB","100","116.08656810503453016281127930"
"Friday September 3","jump-eslam","75.82","1","HD#1: 300 GB","300","308.08647160977125167846679687"
