Date,VMName,UsedDiskSpaceGB,HardDiskCount,HardDiskData,TotalDiskSpaceGB
Tuesday-August-3,ALFA-DAXRPT-COPY,N/A,1,HD#1: 650 GB,650
Tuesday-August-3,Jump-server-Abdo,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Mis-SAP-H-DB,N/A,3,"HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB",6186.4
Tuesday-August-3,MISR-TSMS,N/A,1,HD#1: 60 GB,60
Tuesday-August-3,Jump-Server-Moataz,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Mis-Prod-APP-copy,N/A,3,"HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB",2048
Tuesday-August-3,Misr-ERPPRDDB,N/A,1,HD#1: 3072 GB,3072
Tuesday-August-3,RADUIS-Server,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Mis-CAR-PRD APP Server,N/A,1,HD#1: 2048 GB,2048
Tuesday-August-3,frank-d35,N/A,5,"HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 2048 GB, HD#5: 2048 GB",8392
Tuesday-August-3,sofos_virtual_vm8,N/A,2,"HD#1: 16 GB, HD#2: 80 GB",96
Tuesday-August-3,el batal crm,N/A,1,HD#1: 340 GB,340
Tuesday-August-3,AWS-SMS-Connector,N/A,5,"HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB",299
Tuesday-August-3,Mis-Manage,N/A,2,"HD#1: 50 GB, HD#2: 500 GB",550
Tuesday-August-3,MIS-CRM-PRD APP Server,N/A,3,"HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB",2000
Tuesday-August-3,VMware vCenter Server Appliance 6.7-Witness,N/A,13,"HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB",1123.66
Tuesday-August-3,centos-kibana,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,EU1FE3113,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,ERP-DEV-sQmN,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,EU1FE9333,N/A,2,"HD#1: 500 GB, HD#2: 500 GB",1000
Tuesday-August-3,Frank-ADC-02,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,WorldPosta-WebSite,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,tiba group,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,EU1FE3110,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,frank-veeamone,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,Jump-Nada,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,Jump-Server-MAli,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,temp-v,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,Frank-KSE-SQL,N/A,1,HD#1: 250 GB,250
Tuesday-August-3,shared iso,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,Jump-Server-Karim,N/A,1,HD#1: 700 GB,700
Tuesday-August-3,Misr-e-commerce,N/A,1,HD#1: 150 GB,150
Tuesday-August-3,EU1FE9111,N/A,2,"HD#1: 500 GB, HD#2: 500 GB",1000
Tuesday-August-3,Misr-CARPRDDB,N/A,2,"HD#1: 10 GB, HD#2: 1800 GB",1810
Tuesday-August-3,Developers-VM6-Copy,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,EU1FE9444,N/A,2,"HD#1: 500 GB, HD#2: 500 GB",1000
Tuesday-August-3,Frank-PST-New01,N/A,3,"HD#1: 150 GB, HD#2: 2048 GB, HD#3: 5120 GB",7318
Tuesday-August-3,EU1FE3111,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,MISR-IVENDMC2,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,vcenter-clone,N/A,13,"HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB",1123.66
Tuesday-August-3,jump-hamd,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,jump-wahba,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,jump-eslam,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,EventLog-Analyzer,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Mis-ERP DEV-PRD APP Server,N/A,2,"HD#1: 100 GB, HD#2: 1900 GB",2000
Tuesday-August-3,Sama,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,Frank-ADC-03,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,MIS-CRM-PRD DB Server,N/A,3,"HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB",2000
Tuesday-August-3,nextcloud-nfs,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Misr-Web Server-copy,N/A,1,HD#1: 80 GB,80
Tuesday-August-3,WP-Messanger-DB-WIN .72,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,jump-gabr,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,infected ihpgco Kuwait Windows (ransomware),N/A,1,HD#1: 250 GB,250
Tuesday-August-3,MISR-CARQASAPP,N/A,1,HD#1: 1024 GB,1024
Tuesday-August-3,jump-solex,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,Frank-MBX,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Misr-Newvm,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Misr-SQL-Instance,N/A,1,HD#1: 1024 GB,1024
Tuesday-August-3,Office Libre-Production New 1104,N/A,1,HD#1: 160 GB,160
Tuesday-August-3,Mis-Backup,N/A,2,"HD#1: 60 GB, HD#2: 3072 GB",3132
Tuesday-August-3,esxi2,N/A,1,HD#1: 1000 GB,1000
Tuesday-August-3,FortiGate,N/A,2,"HD#1: 2 GB, HD#2: 30 GB",32
Tuesday-August-3,WP-Syslog-New,N/A,1,HD#1: 1024 GB,1024
Tuesday-August-3,Identity Server-Dev,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Real-ip,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Frank-RODC-01,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,SQL-Server-Solid,N/A,2,"HD#1: 450 GB, HD#2: 300 GB",750
Tuesday-August-3,J-S-Hamd,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,HAProxy,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,EU100S602,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,sandbox,N/A,1,HD#1: 300 GB,300
Tuesday-August-3,Mis-Winsows2012R2,N/A,4,"HD#1: 150 GB, HD#2: 200 GB, HD#3: 700 GB, HD#4: 2048 GB",3098
Tuesday-August-3,WP-Frank-Database3,N/A,1,HD#1: 400 GB,400
Tuesday-August-3,NFS-NEXTCLOUD-01,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,MISR-SAP-CARDB-copy,N/A,1,HD#1: 2048 GB,2048
Tuesday-August-3,ihpgco Kuwait Windows - Backup(new),N/A,1,HD#1: 250 GB,250
Tuesday-August-3,SolarWind-SAM,N/A,2,"HD#1: 100 GB, HD#2: 200 GB",300
Tuesday-August-3,jump-ahmed,N/A,1,HD#1: 400 GB,400
Tuesday-August-3,Misr-ERPDEVDB,N/A,1,HD#1: 2355.20 GB,2355.2
Tuesday-August-3,Frank-ADC-01,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Misr-Tableau,N/A,1,HD#1: 150 GB,150
Tuesday-August-3,WP-RootCA,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,MISR-NFS,N/A,2,"HD#1: 50 GB, HD#2: 13312 GB",13362
Tuesday-August-3,Frank-DNS-MGMNT,N/A,2,"HD#1: 100 GB, HD#2: 50 GB",150
Tuesday-August-3,Mis-Additioanal Domain,N/A,1,HD#1: 50 GB,50
Tuesday-August-3,Misr-Qatr,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Frank-Kbase-Source,N/A,2,"HD#1: 100 GB, HD#2: 1024 GB",1124
Tuesday-August-3,wp-frank-antivirus (DB)-cpoy,N/A,1,HD#1: 400 GB,400
Tuesday-August-3,Misr-MTBIDEVAPP,N/A,2,"HD#1: 500 GB, HD#2: 10 GB",510
Tuesday-August-3,Frank-MBM-D36,N/A,3,"HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB",4296
Tuesday-August-3,esxi1,N/A,1,HD#1: 400 GB,400
Tuesday-August-3,Frank-tools01.Roaya.loc_replica,N/A,1,HD#1: 500.00 GB,500
Tuesday-August-3,Frank-OfficeOnline01,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,WP-Messanger-Centos .73-copy,N/A,1,HD#1: 1024 GB,1024
Tuesday-August-3,J-S-Peter,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,MISR-SAP-CARAPP,N/A,1,HD#1: 2048 GB,2048
Tuesday-August-3,SQL-Server-Solid2,N/A,2,"HD#1: 400 GB, HD#2: 300 GB",700
Tuesday-August-3,Frank-OfficeOnline02,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Frank-Wsus-new,N/A,2,"HD#1: 80 GB, HD#2: 500 GB",580
Tuesday-August-3,Frank-EventLog,N/A,1,HD#1: 4024 GB,4024
Tuesday-August-3,DAXRDS-yhsv-Copy,N/A,1,HD#1: 250 GB,250
Tuesday-August-3,Mis-Solman Server,N/A,3,"HD#1: 100 GB, HD#2: 200 GB, HD#3: 1800 GB",2100
Tuesday-August-3,Misr-CARPRDAPP,N/A,2,"HD#1: 10 GB, HD#2: 800 GB",810
Tuesday-August-3,EU1FE3112,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,EU1FE9222,N/A,2,"HD#1: 500 GB, HD#2: 500 GB",1000
Tuesday-August-3,Misr-ENTERPRISESRV,N/A,1,HD#1: 1024 GB,1024
Tuesday-August-3,Frank-Trend2019-DEV,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,EU1OOS601,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,next-cloud-NFS-server,N/A,1,HD#1: 500 GB,500
Tuesday-August-3,Mis-CAR-PRD DB Server,N/A,1,HD#1: 2048 GB,2048
Tuesday-August-3,PowerEye,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,centos-block-storage,N/A,2,"HD#1: 500 GB, HD#2: 14336 GB",14836
Tuesday-August-3,MISR-MTBIDEVDB,N/A,2,"HD#1: 1300 GB, HD#2: 10 GB",1310
Tuesday-August-3,vROps-Tenant-App-for-vCD-2.3.0.33067-14826907,N/A,3,"HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB",87
Tuesday-August-3,MISR-CARQASDB,N/A,1,HD#1: 2048 GB,2048
Tuesday-August-3,Frank-ADC-04,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Mis-ERP DEV-PRD DB Server,N/A,3,"HD#1: 150 GB, HD#2: 200 GB, HD#3: 2048 GB",2398
Tuesday-August-3,Misr-ERPQASDB,N/A,1,HD#1: 3072 GB,3072
Tuesday-August-3,Misr-PIPRD,N/A,2,"HD#1: 10 GB, HD#2: 1900 GB",1910
Tuesday-August-3,WP-OdOO,N/A,1,HD#1: 200 GB,200
Tuesday-August-3,VMware vCenter Server Appliance 6.7-Passive,N/A,13,"HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB",1123.66
Tuesday-August-3,Frank-OpenManage_Integration,N/A,1,HD#1: 85.98 GB,85.98
Tuesday-August-3,Frank-SQL-2019,N/A,1,HD#1: 400 GB,400
Tuesday-August-3,copy-DeepSecurity,N/A,1,HD#1: 150 GB,150
Tuesday-August-3,Diyaa-LAB,N/A,1,HD#1: 650 GB,650
Tuesday-August-3,replaymanager,N/A,3,"HD#1: 40 GB, HD#2: 200 GB, HD#3: 300 GB",540
Tuesday-August-3,Jump-Server-Tawfik,N/A,1,HD#1: 100 GB,100
Tuesday-August-3,Frank-DC01,N/A,1,HD#1: 140 GB,140
Tuesday-August-3,EX-04,N/A,1,HD#1: 600 GB,600
Tuesday-August-3,Frank-DC02,N/A,1,HD#1: 140 GB,140
Tuesday-August-3,Exchange-DEV,N/A,2,"HD#1: 500 GB, HD#2: 150 GB",650
Tuesday-August-3,Misr-Router-02,N/A,1,HD#1: 60 GB,60
Tuesday-August-3,VMware vCenter Server Appliance 6.7,N/A,13,"HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB",1123.66
Tuesday-August-3,VMware-NSX-Manager,N/A,1,HD#1: 60 GB,60
Tuesday-August-3,Mis-CRM QAS & Dev DB Server,N/A,1,HD#1: 2048 GB,2048
Tuesday-August-3,VMware_vCloud_Director-10.0.0.4649-15450333,N/A,3,"HD#1: 30 GB, HD#2: 2 GB, HD#3: 80 GB",112
Tuesday-August-3,Misr-Router-01,N/A,1,HD#1: 60 GB,60
Tuesday-August-3,Elbassiouni WebSite Production,N/A,1,HD#1: 100 GB,100
