"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Monday August 30","IGI-AX DB","13.07","1","HD#1: 200 GB","200","202.08165247738361358642578125"
"Monday August 30","Elbatal-newcrm","21.69","1","HD#1: 170 GB","170","186.08503157272934913635253907"
"Monday August 30","Misr-TestDB","8.78","1","HD#1: 100 GB","100","104.08116887696087360382080078"
"Monday August 30","Misr-MagentoDB1","24.82","1","HD#1: 512 GB","512","520.09300381317734718322753907"
"Monday August 30","Misr-MagentoDB2","24.53","1","HD#1: 512 GB","512","520.09338378161191940307617188"
"Monday August 30","Misr-MagentoWeb1","13.81","1","HD#1: 256 GB","256","264.09385560452938079833984375"
"Monday August 30","Frank-Roaya-WebSite","24.37","1","HD#1: 300 GB","300","308.08462453726679086685180664"
"Monday August 30","Frank-WP-WebSite","43.63","1","HD#1: 300 GB","300","342.59607440978288650512695313"
"Monday August 30","Sap Router","24.08","1","HD#1: 20 GB","20","24.081061940640211105346679687"
"Monday August 30","Misr-MagentoWeb2","16.00","1","HD#1: 256 GB","256","264.09311251807957887649536133"
"Monday August 30","Solex-demo-ectr","584.73","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1012653047218918800354004"
"Monday August 30","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081352472305297851562500000"
"Monday August 30","SOLEX-SOLMAN-JAVA","123.18","1","HD#1: 300 GB","300","332.06113403476774692535400391"
"Monday August 30","test sophos","198.80","2","HD#1: 200 GB, HD#2: 40 GB","240","248.08645681478083133697509765"
"Monday August 30","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650","845.6054955935105681419372559"
"Monday August 30","Jump-server-Abdo","162.73","1","HD#1: 500 GB","500","516.08616823609918355941772461"
"Monday August 30","Mis-SAP-H-DB","1830.62","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381338838487863540649414"
"Monday August 30","MISR-TSMS","54.65","1","HD#1: 60 GB","60","68.086205525323748588562011719"
"Monday August 30","Jump-Server-Moataz","27.42","1","HD#1: 100 GB","100","116.08623824268579483032226563"
"Monday August 30","Mis-Prod-APP-copy","441.86","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2336.3965363018214702606201172"
"Monday August 30","Misr-ERPPRDDB","2360.55","1","HD#1: 3072 GB","3072","3914.3841159567236900329589844"
"Monday August 30","RADUIS-Server","31.55","1","HD#1: 100 GB","100","108.08806166518479585647583008"
"Monday August 30","Mis-CAR-PRD APP Server","95.18","1","HD#1: 2048 GB","2048","2080.0944727314636111259460449"
"Monday August 30","sofos_virtual_vm8","22.88","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07935311459004878997802734"
"Monday August 30","el batal crm","163.53","1","HD#1: 340 GB","340","454.24778178427368402481079101"
"Monday August 30","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Monday August 30","Mis-Manage","60.00","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08087402489036321640014649"
"Monday August 30","MIS-CRM-PRD APP Server","426.73","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413560397922992706298828"
"Monday August 30","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382884463295340538024902"
"Monday August 30","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479699492454528808593750"
"Monday August 30","EU1FE3113","256.70","1","HD#1: 500 GB","500","532.09421888180077075958251953"
"Monday August 30","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Monday August 30","EU1FE9333","211.70","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0938621871173381805419922"
"Monday August 30","Frank-ADC-02","39.10","1","HD#1: 100 GB","100","116.08669964969158172607421875"
"Monday August 30","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734254851937294006347656"
"Monday August 30","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Monday August 30","EU1FE3110","259.41","1","HD#1: 500 GB","500","532.09504284150898456573486328"
"Monday August 30","frank-veeamone","44.67","1","HD#1: 200 GB","200","220.09335967060178518295288086"
"Monday August 30","Jump-Nada","47.14","1","HD#1: 200 GB","200","208.08659221231937408447265625"
"Monday August 30","Jump-Server-MAli","34.95","1","HD#1: 100 GB","100","116.08636691886931657791137696"
"Monday August 30","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Monday August 30","Frank-KSE-SQL","67.43","1","HD#1: 250 GB","250","266.08645210042595863342285156"
"Monday August 30","shared iso","13.52","1","HD#1: 300 GB","300","308.21294185519218444824218750"
"Monday August 30","Jump-Server-Karim","178.77","1","HD#1: 700 GB","700","716.08675288222730159759521485"
"Monday August 30","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08582571614533662796020507"
"Monday August 30","EU1FE9111","202.48","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0919441673904657363891602"
"Monday August 30","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421821285039186477661132"
"Monday August 30","Developers-VM6-Copy","32.71","1","HD#1: 500 GB","500","516.19584965519607067108154297"
"Monday August 30","EU1FE9444","217.90","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0941037395969033241271973"
"Monday August 30","Frank-PST-New01","1998.65","3","HD#1: 150 GB, HD#2: 2048 GB, HD#3: 5120 GB","7318","7334.0866633849218487739562988"
"Monday August 30","EU1FE3111","259.60","1","HD#1: 500 GB","500","532.09517141431570053100585937"
"Monday August 30","IGI-AD","14.54","1","HD#1: 32 GB","32","33.081909104250371456146240235"
"Monday August 30","MISR-IVENDMC2","73.17","1","HD#1: 100 GB","100","116.09057684428989887237548828"
"Monday August 30","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930753292515873908996582"
"Monday August 30","jump-hamd","17.73","1","HD#1: 300 GB","300","308.08634705282747745513916016"
"Monday August 30","jump-wahba","36.13","1","HD#1: 100 GB","100","116.08664249815046787261962891"
"Monday August 30","jump-eslam","71.92","1","HD#1: 300 GB","300","308.08647124841809272766113281"
"Monday August 30","Misr-Testapp","8.71","1","HD#1: 100 GB","100","104.08168595749884843826293945"
"Monday August 30","EventLog-Analyzer","21.13","1","HD#1: 500 GB","500","508.21374985668808221817016602"
"Monday August 30","Mis-ERP DEV-PRD APP Server","765.95","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0885594021528959274291992"
"Monday August 30","Sama","20.79","1","HD#1: 200 GB","200","208.08607770036906003952026367"
"Monday August 30","IGI-AX-app","17.71","1","HD#1: 50 GB","50","52.086762879043817520141601563"
"Monday August 30","Frank-ADC-03","39.16","1","HD#1: 100 GB","100","116.08657565247267484664916992"
"Monday August 30","MIS-CRM-PRD DB Server","627.97","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000","2192.1419442370533943176269531"
"Monday August 30","nextcloud-nfs","4.29","1","HD#1: 500 GB","500","508.21238695085048675537109375"
"Monday August 30","Misr-Web Server-copy","51.43","1","HD#1: 80 GB","80","84.08272088039666414260864258"
"Monday August 30","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Monday August 30","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08685065712779760360717773"
