"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Monday October 4","EL-DoctorFortiGate-VM64","7.50","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08564800024032592773437500"
"Monday October 4","solex-S4-HANA-R5OJ-9/29","1257.38","2","HD#1: 200 GB, HD#2: 774 GB","974","1974.2614512639120221138000488"
"Monday October 4","Diyaa-Lap","65.79","1","HD#1: 100 GB","100","116.08515443187206983566284180"
"Monday October 4","Misr-Newvm","53.58","1","HD#1: 100 GB","100","108.08220387529581785202026367"
"Monday October 4","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Monday October 4","jump-hamd","17.82","1","HD#1: 300 GB","300","308.08647655043751001358032227"
"Monday October 4","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Monday October 4","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Monday October 4","Misr-MagentoDB1","27.67","1","HD#1: 512 GB","512","520.09376170299947261810302735"
"Monday October 4","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Monday October 4","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691124968230724334716797"
"Monday October 4","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Monday October 4","jump-ahmed","73.37","1","HD#1: 500 GB","500","508.08631002344191074371337891"
"Monday October 4","frank-veeamone","45.21","1","HD#1: 200 GB","200","220.09344958141446113586425781"
"Monday October 4","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Monday October 4","Jump-Server-Karim","196.29","1","HD#1: 700 GB","700","716.08687868621200323104858399"
"Monday October 4","sofos_virtual_vm8","29.60","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07937119435518980026245117"
"Monday October 4","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08621949423104524612426758"
"Monday October 4","Mis-Additioanal Domain","23.78","1","HD#1: 50 GB","50","54.082165325060486793518066406"
"Monday October 4","Misr-MTBIDEVAPP","147.01","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233693011105060577392578"
"Monday October 4","Misr-Web Server-copy","52.19","1","HD#1: 80 GB","80","84.08232677634805440902709961"
"Monday October 4","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706359006464481353759766"
"Monday October 4","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Monday October 4","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Monday October 4","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Monday October 4","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421673838049173355102539"
"Monday October 4","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Monday October 4","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Monday October 4","MISR-MTBIDEVDB","905.40","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181545797735452651977539"
"Monday October 4","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.70","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Monday October 4","MISR-TSMS","55.83","1","HD#1: 60 GB","60","68.086822224780917167663574219"
"Monday October 4","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Monday October 4","Misr-TestDB","10.88","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Monday October 4","Mis-Prod-APP-copy","2280.61","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425549713894724845886230"
"Monday October 4","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Monday October 4","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958207800984382629394531"
"Monday October 4","Frank-OfficeOnline02","69.24","1","HD#1: 100 GB","100","125.08632694184780120849609375"
"Monday October 4","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08631950337439775466918945"
"Monday October 4","el batal crm","107.68","1","HD#1: 340 GB","340","372.09005223121494054794311523"
"Monday October 4","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Monday October 4","Frank-OfficeOnline01","79.56","1","HD#1: 100 GB","100","125.08792216610163450241088867"
"Monday October 4","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Monday October 4","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08647322375327348709106445"
"Monday October 4","Elbatal-newcrm","57.82","1","HD#1: 170 GB","170","202.08978236280381679534912109"
"Monday October 4","test sophos","179.33","1","HD#1: 200 GB","200","208.08793331403285264968872070"
"Monday October 4","MISR-CARQASAPP","198.90","1","HD#1: 1024 GB","1024","1160.1300388192757964134216309"
"Monday October 4","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
"Monday October 4","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Monday October 4","ASFOUR-machine1","176.10","1","HD#1: 160 GB","160","176.10110753960907459259033203"
"Monday October 4","Sama","31.68","1","HD#1: 200 GB","200","208.08677222020924091339111328"
"Monday October 4","VMware vCenter Server Appliance 6.7-Witness","32.18","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1155.7922526141628623008728027"
"Monday October 4","NFS-nextcloud-2021","28.57","1","HD#1: 500 GB","500","512.09271849971264600753784179"
"Monday October 4","Jump-server-Abdo","194.44","1","HD#1: 500 GB","500","516.08637955226004123687744140"
"Monday October 4","HAProxy","5.88","1","HD#1: 300 GB","300","316.19699565134942531585693359"
"Monday October 4","Misr-ERPQASDB","1052.11","1","HD#1: 3072 GB","3072","3352.1261537503451108932495118"
"Monday October 4","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139665288850665092468262"
"Monday October 4","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Monday October 4","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Monday October 4","Frank-RODC-01","53.14","1","HD#1: 100 GB","100","116.08651180099695920944213867"
"Monday October 4","next-cloud-NFS-server","45.10","1","HD#1: 500 GB","500","552.58994609024375677108764649"
"Monday October 4","Misr-MagentoWeb1","16.92","1","HD#1: 256 GB","256","264.09374678693711757659912110"
