"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Monday September 20","clone-nextcloud-dev-new-production","328.04","1","HD#1: 500 GB","500","818.1464756494387984275817871"
"Monday September 20","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Monday September 20","IGI-AX DB","47.50","1","HD#1: 200 GB","200","202.08200567960739135742187500"
"Monday September 20","Elbatal-newcrm","56.46","1","HD#1: 170 GB","170","202.08921812940388917922973633"
"Monday September 20","Misr-TestDB","10.29","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Monday September 20","Misr-MagentoDB1","26.35","1","HD#1: 512 GB","512","520.09375449083745479583740235"
"Monday September 20","Misr-MagentoDB2","26.09","1","HD#1: 512 GB","512","520.09375965036451816558837891"
"Monday September 20","Misr-MagentoWeb1","15.68","1","HD#1: 256 GB","256","264.09384017437696456909179688"
"Monday September 20","Frank-Roaya-WebSite","24.46","1","HD#1: 300 GB","300","308.08592572994530200958251953"
"Monday September 20","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59689908847212791442871094"
"Monday September 20","Sap Router","24.08","1","HD#1: 20 GB","20","24.081335859373211860656738281"
"Monday September 20","Misr-MagentoWeb2","17.77","1","HD#1: 256 GB","256","264.09398998785763978958129883"
"Monday September 20","Solex-demo-ectr","590.35","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1016786005347967147827148"
"Monday September 20","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081642161123454570770263672"
"Monday September 20","SOLEX-SOLMAN-JAVA","123.55","1","HD#1: 300 GB","300","332.06164689268916845321655273"
"Monday September 20","test sophos","212.70","2","HD#1: 200 GB, HD#2: 40 GB","240","248.21560940425843000411987305"
"Monday September 20","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Monday September 20","Jump-server-Abdo","194.99","1","HD#1: 500 GB","500","516.08630664553493261337280273"
"Monday September 20","Mis-SAP-H-DB","1225.90","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381445325911045074462890"
"Monday September 20","MISR-TSMS","55.81","1","HD#1: 60 GB","60","68.086563372053205966949462891"
"Monday September 20","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08628377784043550491333008"
"Monday September 20","Mis-Prod-APP-copy","2292.86","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425499310716986656188964"
"Monday September 20","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1782905906438827514648437"
"Monday September 20","RADUIS-Server","30.68","1","HD#1: 100 GB","100","108.08959006890654563903808594"
"Monday September 20","Mis-CAR-PRD APP Server","95.48","1","HD#1: 2048 GB","2048","2080.0944874202832579612731934"
"Monday September 20","sofos_virtual_vm8","26.08","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07935382239520549774169922"
"Monday September 20","el batal crm","107.66","1","HD#1: 340 GB","340","372.09004447422921657562255859"
"Monday September 20","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Monday September 20","Mis-Manage","60.51","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08016442321240901947021485"
"Monday September 20","MIS-CRM-PRD APP Server","426.78","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413756329566240310668945"
"Monday September 20","NFS-nextcloud-2021","28.32","1","HD#1: 500 GB","500","512.09271807502955198287963867"
"Monday September 20","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382884463295340538024902"
"Monday September 20","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479720726609230041503907"
"Monday September 20","EU1FE3113","319.52","1","HD#1: 500 GB","500","532.09425100497901439666748047"
"Monday September 20","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Monday September 20","EU1FE9333","237.52","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0943123167380690574645996"
"Monday September 20","Frank-ADC-02","42.71","1","HD#1: 100 GB","100","116.08653226029127836227416992"
"Monday September 20","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734254851937294006347656"
"Monday September 20","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Monday September 20","EU1FE3110","318.06","1","HD#1: 500 GB","500","532.09564013127237558364868164"
"Monday September 20","frank-veeamone","45.43","1","HD#1: 200 GB","200","220.09340704511851072311401367"
"Monday September 20","Jump-Nada","44.30","1","HD#1: 200 GB","200","208.08679677918553352355957032"
"Monday September 20","Jump-Server-MAli","34.84","1","HD#1: 100 GB","100","116.08634415734559297561645508"
"Monday September 20","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Monday September 20","Frank-KSE-SQL","70.58","1","HD#1: 250 GB","250","266.08660589158535003662109375"
"Monday September 20","shared iso","13.52","1","HD#1: 300 GB","300","308.21294185519218444824218750"
"Monday September 20","Jump-Server-Karim","191.89","1","HD#1: 700 GB","700","716.08683597855269908905029297"
"Monday September 20","Alfa-DAXRDS-yhsv-Copy","106.35","1","HD#1: 250 GB","250","282.09520663879811763763427734"
"Monday September 20","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08583066146820783615112304"
"Monday September 20","EU1FE9111","227.10","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0907183391973376274108887"
"Monday September 20","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1422140626236796379089356"
"Monday September 20","Developers-VM6-Copy","31.75","1","HD#1: 500 GB","500","516.19610657263547182083129883"
"Monday September 20","EU1FE9444","245.16","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0945715215057134628295898"
"Monday September 20","Frank-PST-New01","5486.93","3","HD#1: 150 GB, HD#2: 2048 GB, HD#3: 5120 GB","7318","7334.0867946306243538856506348"
"Monday September 20","EU1FE3111","300.80","1","HD#1: 500 GB","500","532.09587662108242511749267578"
"Monday September 20","IGI-AD","22.77","1","HD#1: 32 GB","32","33.082166236825287342071533203"
"Monday September 20","MISR-IVENDMC2","73.22","1","HD#1: 100 GB","100","116.09021200984716415405273438"
"Monday September 20","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930753292515873908996582"
"Monday September 20","jump-hamd","17.81","1","HD#1: 300 GB","300","308.08655638806521892547607422"
"Monday September 20","jump-wahba","36.83","1","HD#1: 100 GB","100","116.08657199516892433166503906"
"Monday September 20","jump-eslam","76.68","1","HD#1: 300 GB","300","308.08638253901153802871704101"
"Monday September 20","Misr-Testapp","10.25","1","HD#1: 100 GB","100","104.08196984231472015380859375"
"Monday September 20","Mis-ERP DEV-PRD APP Server","770.33","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0885786348953843116760254"
"Monday September 20","Sama","20.89","1","HD#1: 200 GB","200","208.08617650438100099563598633"
"Monday September 20","IGI-AX-app","24.98","1","HD#1: 50 GB","50","52.086017593741416931152343750"
"Monday September 20","Frank-ADC-03","40.94","1","HD#1: 100 GB","100","116.08662912994623184204101562"
"Monday September 20","MIS-CRM-PRD DB Server","631.20","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000","2192.1419635526835918426513672"
"Monday September 20","nextcloud-nfs","4.29","1","HD#1: 500 GB","500","508.21271698828786611557006836"
"Monday September 20","Misr-Web Server-copy","52.21","1","HD#1: 80 GB","80","84.08236228488385677337646484"
"Monday September 20","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Monday September 20","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08698528539389371871948242"
"Monday September 20","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21038099657744169235229492"
"Monday September 20","MISR-CARQASAPP","198.81","1","HD#1: 1024 GB","1024","1160.1300296355038881301879883"
"Monday September 20","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Monday September 20","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306277986615896224975586"
"Monday September 20","Misr-Newvm","51.38","1","HD#1: 100 GB","100","108.08222801424562931060791016"
"Monday September 20","Misr-SQL-Instance","698.64","1","HD#1: 1024 GB","1024","1280.2057467112317681312561035"
"Monday September 20","Office Libre-Production New 1104","155.62","1","HD#1: 160 GB","160","168.19725906196981668472290040"
"Monday September 20","Mis-Backup","2286.53","2","HD#1: 60 GB, HD#2: 3072 GB","3132","3140.0939743462949991226196289"
"Monday September 20","esxi2","70.80","1","HD#1: 1500 GB","1500","1516.0940657602623105049133301"
"Monday September 20","FortiGate","32.00","2","HD#1: 2 GB, HD#2: 30 GB","32","34.191492129117250442504882813"
"Monday September 20","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139665288850665092468262"
"Monday September 20","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Monday September 20","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Monday September 20","Frank-RODC-01","52.65","1","HD#1: 100 GB","100","116.08650459256023168563842774"
"Monday September 20","SQL-Server-Solid","241.00","2","HD#1: 450 GB, HD#2: 300 GB","750","768.09447762649506330490112305"
"Monday September 20","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
"Monday September 20","HAProxy","5.88","1","HD#1: 300 GB","300","316.19699565134942531585693359"
"Monday September 20","EU100S602","55.66","1","HD#1: 200 GB","200","216.08621635939925909042358399"
"Monday September 20","sandbox","19.93","1","HD#1: 300 GB","300","316.21816515736281871795654296"
"Monday September 20","Mis-Winsows2012R2","870.47","4","HD#1: 150 GB, HD#2: 200 GB, HD#3: 700 GB, HD#4: 2048 GB","3098","3188.1211057789623737335205079"
"Monday September 20","WP-Frank-Database3","400.00","1","HD#1: 400 GB","400","416.21424897480756044387817383"
"Monday September 20","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Monday September 20","MISR-SAP-CARDB-copy","464.94","1","HD#1: 2048 GB","2048","2176.1419482454657554626464844"
"Monday September 20","ihpgco Kuwait Windows - Backup(new)","166.04","1","HD#1: 250 GB","250","254.08286635391414165496826172"
"Monday September 20","SolarWind-SAM","99.00","2","HD#1: 100 GB, HD#2: 200 GB","300","320.21402972191572189331054687"
"Monday September 20","jump-ahmed","79.96","1","HD#1: 500 GB","500","508.08633688278496265411376953"
"Monday September 20","Misr-ERPDEVDB","441.73","1","HD#1: 2355.20 GB","2355.2","2419.3101502684876322746276855"
"Monday September 20","Frank-ADC-01","44.37","1","HD#1: 100 GB","100","116.08657340425997972488403320"
"Monday September 20","Misr-Tableau","119.29","1","HD#1: 150 GB","150","166.08617766574025154113769531"
"Monday September 20","WP-RootCA","114.96","1","HD#1: 100 GB","100","116.08622153382748365402221680"
"Monday September 20","MISR-NFS","11736.70","2","HD#1: 50 GB, HD#2: 13312 GB","13362","13366.085932192392647266387939"
"Monday September 20","Frank-DNS-MGMNT","53.09","2","HD#1: 100 GB, HD#2: 50 GB","150","166.08789012487977743148803711"
"Monday September 20","Mis-Additioanal Domain","23.79","1","HD#1: 50 GB","50","54.082176259718835353851318360"
"Monday September 20","Misr-Qatr","530.68","1","HD#1: 500 GB","500","532.09475039690732955932617187"
"Monday September 20","Kayan-Egypt","56.34","1","HD#1: 320 GB","320","336.08515671733766794204711914"
"Monday September 20","Frank-Kbase-Source","319.25","2","HD#1: 100 GB, HD#2: 1024 GB","1124","1140.0864081913605332374572754"
"Monday September 20","Misr-MTBIDEVAPP","147.00","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10237404890358448028564453"
"Monday September 20","Misr-MagentoDBLoad","20.19","1","HD#1: 128 GB","128","136.09380727261304855346679688"
"Monday September 20","esxi1","29.58","1","HD#1: 500 GB","500","520.09352144505828619003295898"
"Monday September 20","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Monday September 20","Frank-OfficeOnline01","120.00","1","HD#1: 100 GB","100","125.08836224675178527832031250"
"Monday September 20","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Monday September 20","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08645943831652402877807617"
"Monday September 20","MISR-SAP-CARAPP","115.81","1","HD#1: 2048 GB","2048","2112.1022251136600971221923828"
"Monday September 20","SQL-Server-Solid2","195.79","2","HD#1: 400 GB, HD#2: 300 GB","700","720.09028106648474931716918945"
"Monday September 20","Frank-OfficeOnline02","68.21","1","HD#1: 100 GB","100","125.08625590614974498748779297"
"Monday September 20","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08614106848835945129394531"
"Monday September 20","Frank-EventLog","3094.91","1","HD#1: 4024 GB","4024","4032.0862438948825001716613770"
"Monday September 20","DAXRDS-yhsv-Copy","79.48","1","HD#1: 250 GB","250","282.20777994673699140548706055"
"Monday September 20","IGI-jump server","21.75","1","HD#1: 32 GB","32","36.082424914464354515075683594"
"Monday September 20","Misr-MagentoWebLoad","16.61","1","HD#1: 128 GB","128","136.09393801633268594741821289"
"Monday September 20","Mis-Solman Server","627.11","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1800 GB","2100","2132.0944726346060633659362793"
"Monday September 20","Misr-CARPRDAPP","974.11","2","HD#1: 10 GB, HD#2: 800 GB","810","974.1140604754909873008728027"
"Monday September 20","EU1FE3112","367.71","1","HD#1: 500 GB","500","532.09471925813704729080200195"
"Monday September 20","EU1FE9222","742.11","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0908435117453336715698242"
"Monday September 20","Misr-ENTERPRISESRV","1074.11","1","HD#1: 1024 GB","1024","1074.1080817254260182380676269"
"Monday September 20","openmange-Idrace-Managment","428.60","1","HD#1: 412.51 GB","412.51","428.59512114897370338439941407"
"Monday September 20","EU1OOS601","43.81","1","HD#1: 200 GB","200","216.08614757470786571502685547"
"Monday September 20","next-cloud-NFS-server","53.17","1","HD#1: 500 GB","500","552.46219612564891576766967774"
"Monday September 20","Mis-CAR-PRD DB Server","2453.66","1","HD#1: 2048 GB","2048","4183.3312799790874123573303223"
"Monday September 20","PowerEye","34.76","1","HD#1: 100 GB","100","108.08647480793297290802001953"
"Monday September 20","centos-block-storage","14354.21","2","HD#1: 500 GB, HD#2: 14336 GB","14836","14848.088198301382362842559814"
"Monday September 20","MISR-MTBIDEVDB","875.93","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1182047873735427856445312"
"Monday September 20","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.68","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Monday September 20","IGI-windows8","30.24","1","HD#1: 32 GB","32","36.082079652696847915649414063"
"Monday September 20","MISR-CARQASDB","546.68","1","HD#1: 2048 GB","2048","2168.1378576168790459632873536"
"Monday September 20","Frank-ADC-04","41.28","1","HD#1: 100 GB","100","116.08628875855356454849243164"
"Monday September 20","Mis-ERP DEV-PRD DB Server","261.20","3","HD#1: 150 GB, HD#2: 200 GB, HD#3: 2048 GB","2398","2438.1105751842260360717773437"
