"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Saturday August 14","Sap Router","24.08","1","HD#1: 20 GB","20","24.081058253534138202667236328"
"Saturday August 14","Solex-demo-ectr","584.69","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1021810686215758323669434"
"Saturday August 14","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081348932348191738128662109"
"Saturday August 14","SOLEX-SOLMAN-JAVA","123.06","1","HD#1: 300 GB","300","332.06111244391649961471557617"
"Saturday August 14","test sophos","170.64","1","HD#1: 200 GB","200","208.08608838822692632675170898"
"Saturday August 14","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650","845.6054955199360847473144531"
"Saturday August 14","Jump-server-Abdo","160.77","1","HD#1: 500 GB","500","516.08656629081815481185913086"
"Saturday August 14","Mis-SAP-H-DB","1692.18","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381363537162542343139648"
"Saturday August 14","MISR-TSMS","55.29","1","HD#1: 60 GB","60","68.085942176170647144317626953"
"Saturday August 14","Jump-Server-Moataz","27.45","1","HD#1: 100 GB","100","116.08619781211018562316894532"
"Saturday August 14","Mis-Prod-APP-copy","441.32","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2336.3965289453044533729553222"
"Saturday August 14","Misr-ERPPRDDB","1934.53","1","HD#1: 3072 GB","3072","3914.3841119417920708656311036"
"Saturday August 14","RADUIS-Server","30.80","1","HD#1: 100 GB","100","108.08692747447639703750610352"
"Saturday August 14","Mis-CAR-PRD APP Server","95.36","1","HD#1: 2048 GB","2048","2080.0944556975737214088439942"
"Saturday August 14","frank-d35","4434.84","6","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 2048 GB, HD#5: 2048 GB, HD#6: 200 GB","8592","8616.094212008640170097351074"
"Saturday August 14","sofos_virtual_vm8","15.86","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07935048639774322509765625"
"Saturday August 14","el batal crm","145.29","1","HD#1: 340 GB","340","454.24749981798231601715087890"
"Saturday August 14","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339371100068092346191406"
"Saturday August 14","Mis-Manage","59.64","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08085309527814388275146485"
"Saturday August 14","MIS-CRM-PRD APP Server","426.31","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413507359102368354797363"
"Saturday August 14","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382860463112592697143555"
"Saturday August 14","S/4HANA1909&HANA2","1274.11","2","HD#1: 200 GB, HD#2: 774 GB","974","1274.1065377872437238693237305"
"Saturday August 14","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479174505919218063354493"
"Saturday August 14","EU1FE3113","211.41","1","HD#1: 500 GB","500","532.09505696501582860946655273"
"Saturday August 14","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Saturday August 14","EU1FE9333","183.47","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0938219223171472549438477"
"Saturday August 14","Frank-ADC-02","38.73","1","HD#1: 100 GB","100","116.08667065668851137161254883"
"Saturday August 14","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734254851937294006347656"
"Saturday August 14","tiba group","27.42","1","HD#1: 500 GB","500","516.09355031419545412063598633"
"Saturday August 14","EU1FE3110","210.82","1","HD#1: 500 GB","500","532.09493053425103425979614258"
"Saturday August 14","frank-veeamone","45.65","1","HD#1: 200 GB","200","220.09334093704819679260253906"
"Saturday August 14","Jump-Nada","43.27","1","HD#1: 200 GB","200","208.08656557556241750717163086"
"Saturday August 14","Jump-Server-MAli","34.88","1","HD#1: 100 GB","100","116.08635783195495605468750000"
"Saturday August 14","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Saturday August 14","Frank-KSE-SQL","66.48","1","HD#1: 250 GB","250","266.08639934752136468887329102"
"Saturday August 14","shared iso","13.52","1","HD#1: 300 GB","300","308.21294178161770105361938476"
"Saturday August 14","Jump-Server-Karim","181.87","1","HD#1: 700 GB","700","716.0867345687001943588256836"
"Saturday August 14","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08582243323326110839843750"
"Saturday August 14","EU1FE9111","175.48","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0919150188565254211425781"
"Saturday August 14","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421098662540316581726074"
"Saturday August 14","Developers-VM6-Copy","32.71","1","HD#1: 500 GB","500","516.19584958162158727645874024"
"Saturday August 14","EU1FE9444","187.49","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0940507389605045318603516"
"Saturday August 14","Frank-PST-New01","6664.53","3","HD#1: 150 GB, HD#2: 2048 GB, HD#3: 5120 GB","7318","7334.0866594128310680389404297"
"Saturday August 14","EU1FE3111","213.23","1","HD#1: 500 GB","500","532.09506378043442964553833008"
"Saturday August 14","MISR-IVENDMC2","60.57","1","HD#1: 100 GB","100","116.09054074995219707489013672"
"Saturday August 14","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930752556771039962768555"
"Saturday August 14","jump-hamd","17.65","1","HD#1: 300 GB","300","308.08478044625371694564819336"
"Saturday August 14","jump-wahba","35.81","1","HD#1: 100 GB","100","116.08659807965159416198730469"
"Saturday August 14","jump-eslam","67.84","1","HD#1: 300 GB","300","308.08624417893588542938232422"
"Saturday August 14","EventLog-Analyzer","21.13","1","HD#1: 500 GB","500","508.21374978311359882354736328"
"Saturday August 14","Mis-ERP DEV-PRD APP Server","765.39","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0885570086538791656494140"
"Saturday August 14","Sama","20.74","1","HD#1: 200 GB","200","208.08607307542115449905395508"
"Saturday August 14","Frank-ADC-03","38.81","1","HD#1: 100 GB","100","116.08657180704176425933837891"
"Saturday August 14","MIS-CRM-PRD DB Server","627.80","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000","2192.1419386453926563262939453"
"Saturday August 14","nextcloud-nfs","4.29","1","HD#1: 500 GB","500","508.21238687727600336074829102"
"Saturday August 14","Misr-Web Server-copy","51.24","1","HD#1: 80 GB","80","84.08270714245736598968505859"
"Saturday August 14","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Saturday August 14","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08684159442782402038574219"
"Saturday August 14","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Saturday August 14","MISR-CARQASAPP","198.90","1","HD#1: 1024 GB","1024","1160.1299758004024624824523925"
"Saturday August 14","Frank-MBX","75.81","1","HD#1: 100 GB","100","132.09107118193060159683227539"
"Saturday August 14","Misr-Newvm","47.13","1","HD#1: 100 GB","100","108.08210677932947874069213867"
"Saturday August 14","Misr-SQL-Instance","801.38","1","HD#1: 1024 GB","1024","1280.1478590304031968116760254"
"Saturday August 14","Office Libre-Production New 1104","34.13","1","HD#1: 160 GB","160","195.18874401971697807312011719"
"Saturday August 14","Mis-Backup","2785.62","2","HD#1: 60 GB, HD#2: 3072 GB","3132","3140.0979014337062835693359375"
"Saturday August 14","esxi2","62.86","1","HD#1: 1000 GB","1000","1016.0929236616939306259155274"
"Saturday August 14","FortiGate","32.00","2","HD#1: 2 GB, HD#2: 30 GB","32","34.191491521894931793212890625"
"Saturday August 14","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139664553105831146240235"
"Saturday August 14","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Saturday August 14","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Saturday August 14","Frank-RODC-01","43.76","1","HD#1: 100 GB","100","116.08674143161624670028686524"
"Saturday August 14","SQL-Server-Solid","215.66","2","HD#1: 450 GB, HD#2: 300 GB","750","768.09518197551369667053222657"
