"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Saturday October 16","frank-veeamone","46.80","1","HD#1: 200 GB","200","266.30481263902038335800170898"
"Saturday October 16","Ahmed-centos-test","21.65","1","HD#1: 100 GB","100","116.09240539930760860443115234"
"Saturday October 16","Madkour-Sharepoint-01","42.81","1","HD#1: 200 GB","200","232.09279581159353256225585937"
"Saturday October 16","Madkour-Exchange-01","71.18","1","HD#1: 200 GB","200","232.09297897294163703918457031"
"Saturday October 16","EL-DoctorFortiGate-VM64","7.55","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08578061498701572418212891"
"Saturday October 16","solex-S4-HANA-R5OJ-9/29","1577.06","2","HD#1: 200 GB, HD#2: 774 GB","974","2404.2275110073387622833251953"
"Saturday October 16","Diyaa-Lap","66.15","1","HD#1: 100 GB","100","116.08515699673444032669067383"
"Saturday October 16","Misr-Newvm","52.51","1","HD#1: 100 GB","100","108.08220948558300733566284180"
"Saturday October 16","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Saturday October 16","jump-hamd","17.84","1","HD#1: 300 GB","300","308.08647871855646371841430664"
"Saturday October 16","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Saturday October 16","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Saturday October 16","Misr-MagentoDB1","29.00","1","HD#1: 512 GB","512","520.09374861326068639755249024"
"Saturday October 16","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Saturday October 16","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691153280436992645263672"
"Saturday October 16","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Saturday October 16","jump-ahmed","92.30","1","HD#1: 500 GB","500","508.08636686485260725021362305"
"Saturday October 16","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Saturday October 16","Jump-Server-Karim","198.52","1","HD#1: 700 GB","700","716.08693034201860427856445313"
"Saturday October 16","solex-S4-HANA-R5OJ-15/10","2052.47","2","HD#1: 200 GB, HD#2: 774 GB","974","3015.3284988496452569961547852"
"Saturday October 16","sofos_virtual_vm8","30.73","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07938680052757263183593750"
"Saturday October 16","Jump-Server-Moataz","27.45","1","HD#1: 100 GB","100","116.08622493036091327667236328"
"Saturday October 16","Mis-Additioanal Domain","23.81","1","HD#1: 50 GB","50","54.082169540226459503173828125"
"Saturday October 16","Misr-MTBIDEVAPP","147.07","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10222297534346580505371094"
"Saturday October 16","Misr-Web Server-copy","55.97","1","HD#1: 80 GB","80","84.08238241914659738540649414"
"Saturday October 16","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706665318459272384643555"
"Saturday October 16","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Saturday October 16","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Saturday October 16","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Saturday October 16","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1417160574346780776977539"
"Saturday October 16","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Saturday October 16","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Saturday October 16","MISR-MTBIDEVDB","1070.50","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181157492101192474365234"
"Saturday October 16","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.72","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Saturday October 16","MISR-TSMS","56.16","1","HD#1: 60 GB","60","68.086984925903379917144775391"
"Saturday October 16","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Saturday October 16","Misr-TestDB","12.19","1","HD#1: 100 GB","100","104.08198067918419837951660156"
"Saturday October 16","Mis-Prod-APP-copy","2280.95","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425787238404154777526855"
"Saturday October 16","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Saturday October 16","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958042025566101074218750"
"Saturday October 16","Frank-OfficeOnline02","70.74","1","HD#1: 100 GB","100","125.08635562006384134292602539"
"Saturday October 16","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08632485195994377136230469"
"Saturday October 16","Madkour-Domain-controller","25.44","1","HD#1: 200 GB","200","208.08499730098992586135864258"
"Saturday October 16","el batal crm","75.59","1","HD#1: 340 GB","340","372.20171984191983938217163086"
"Saturday October 16","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Saturday October 16","Frank-OfficeOnline01","82.39","1","HD#1: 100 GB","100","125.08793057966977357864379883"
"Saturday October 16","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Saturday October 16","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08650929946452379226684570"
"Saturday October 16","Elbatal-newcrm","60.72","1","HD#1: 170 GB","170","202.08981671743094921112060546"
"Saturday October 16","test sophos","160.43","1","HD#1: 200 GB","200","208.08796388842165470123291015"
"Saturday October 16","MISR-CARQASAPP","198.96","1","HD#1: 1024 GB","1024","1160.1300786072388291358947754"
"Saturday October 16","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
"Saturday October 16","Frank-veeammonitor","30.80","1","HD#1: 200 GB","200","208.08605574816465377807617188"
"Saturday October 16","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Saturday October 16","ASFOUR-machine1","176.10","1","HD#1: 160 GB","160","176.10142624657601118087768554"
"Saturday October 16","Sama","26.17","1","HD#1: 200 GB","200","208.08681241888552904129028320"
"Saturday October 16","VMware vCenter Server Appliance 6.7-Witness","32.18","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1155.7922526141628623008728027"
"Saturday October 16","NFS-nextcloud-2021","28.83","1","HD#1: 500 GB","500","512.09271857049316167831420898"
"Saturday October 16","Jump-server-Abdo","206.53","1","HD#1: 600 GB","600","616.08641916606575250625610351"
"Saturday October 16","HAProxy","5.88","1","HD#1: 300 GB","300","316.19699565134942531585693359"
"Saturday October 16","Misr-ERPQASDB","896.72","1","HD#1: 3072 GB","3072","3352.1261554807424545288085938"
"Saturday October 16","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139665288850665092468262"
"Saturday October 16","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Saturday October 16","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Saturday October 16","Frank-RODC-01","52.42","1","HD#1: 100 GB","100","116.08654107805341482162475586"
"Saturday October 16","next-cloud-NFS-server","45.10","1","HD#1: 500 GB","500","552.58994609024375677108764649"
"Saturday October 16","Misr-MagentoWeb1","18.69","1","HD#1: 256 GB","256","264.09374663326889276504516602"
"Saturday October 16","Misr-ENTERPRISESRV","1074.10","1","HD#1: 1024 GB","1024","1074.1035104114562273025512695"
"Saturday October 16","Frank-EventLog","3095.03","1","HD#1: 4024 GB","4024","4032.0862576235085725784301758"
"Saturday October 16","RADUIS-Server","31.49","1","HD#1: 100 GB","100","108.09009007550776004791259766"
"Saturday October 16","Mis-CAR-PRD APP Server","95.63","1","HD#1: 2048 GB","2048","2080.0944017907604575157165527"
"Saturday October 16","Misr-SQL-Instance","832.26","1","HD#1: 1024 GB","1024","1280.2058941330760717391967773"
"Saturday October 16","Misr-MagentoDB2","28.64","1","HD#1: 512 GB","512","520.09345374070107936859130860"
"Saturday October 16","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Saturday October 16","MISR-NFS","11738.13","2","HD#1: 50 GB, HD#2: 13312 GB","13362","13366.086013251915574073791504"
"Saturday October 16","Frank-DNS-MGMNT","53.43","2","HD#1: 100 GB, HD#2: 50 GB","150","166.08790665678679943084716797"
"Saturday October 16","openmange-Idrace-Managment","428.60","1","HD#1: 412.51 GB","412.51","428.59512129053473472595214844"
"Saturday October 16","Frank-Roaya-WebSite","24.61","1","HD#1: 300 GB","300","308.08589142374694347381591797"
"Saturday October 16","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930753292515873908996582"
"Saturday October 16","Mis-CAR-PRD DB Server","2764.34","1","HD#1: 2048 GB","2048","4183.3314378717914223670959473"
"Saturday October 16","VMware vCenter Server Appliance 6.7-Passive","371.16","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1454.7623566538095474243164062"
"Saturday October 16","Misr-Testapp","12.25","1","HD#1: 100 GB","100","104.08197456225752830505371093"
"Saturday October 16","Alfa-DAXRDS-yhsv-Copy","112.63","1","HD#1: 250 GB","250","282.09621170442551374435424804"
"Saturday October 16","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08558415714651346206665039"
"Saturday October 16","MIS-CRM-PRD DB Server","630.73","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000","2192.1420010579749941825866699"
"Saturday October 16","nextcloud-nfs","4.29","1","HD#1: 500 GB","500","508.21271698828786611557006836"
"Saturday October 16","IGI-AX-app","24.26","1","HD#1: 50 GB","50","52.085936285555362701416015625"
"Saturday October 16","Frank-ADC-03","41.15","1","HD#1: 100 GB","100","116.08657082077115774154663086"
"Saturday October 16","Mis-ERP DEV-PRD APP Server","770.96","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0883924830704927444458008"
"Saturday October 16","Mis-SAP-H-DB","1340.16","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5377042097970843315124511"
"Saturday October 16","clone-nextcloud-dev-new-production","362.35","1","HD#1: 500 GB","500","850.1511243535205721855163574"
"Saturday October 16","MIS-CRM-PRD APP Server","427.15","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1414143275469541549682617"
"Saturday October 16","Misr-ERPDEVDB","506.37","1","HD#1: 2355.20 GB","2355.2","2419.3100590407848358154296875"
"Saturday October 16","Misr-Tableau","141.43","1","HD#1: 150 GB","150","166.08618324156850576400756836"
"Saturday October 16","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1783338095992803573608398"
"Saturday October 16","MISR-SAP-CARAPP","116.01","1","HD#1: 2048 GB","2048","2112.1022215113043785095214844"
"Saturday October 16","Jump-Server-MAli","34.74","1","HD#1: 100 GB","100","116.08640872873365879058837891"
"Saturday October 16","Jump-Nada","46.03","1","HD#1: 200 GB","200","208.08697874657809734344482422"
"Saturday October 16","Kayan-Egypt","127.70","1","HD#1: 320 GB","320","336.08571096230298280715942383"
"Saturday October 16","Frank-Kbase-Source","335.96","2","HD#1: 100 GB, HD#2: 1024 GB","1124","1140.0865366924554109573364258"
"Saturday October 16","IGI-AD","22.10","1","HD#1: 32 GB","32","33.081914320588111877441406250"
"Saturday October 16","MISR-IVENDMC2","80.93","1","HD#1: 100 GB","100","116.09019332379102706909179688"
"Saturday October 16","centos-block-storage","14354.21","2","HD#1: 500 GB, HD#2: 14336 GB","14836","14848.088198372162878513336182"
"Saturday October 16","jump-eslam","116.23","1","HD#1: 300 GB","300","308.08634306490421295166015625"
"Saturday October 16","jump-wahba","38.62","1","HD#1: 100 GB","100","116.08618776872754096984863281"
"Saturday October 16","FortiGate","32.00","2","HD#1: 2 GB, HD#2: 30 GB","32","34.191492129117250442504882813"
"Saturday October 16","esxi2","70.80","1","HD#1: 1500 GB","1500","1516.0940657602623105049133301"
