"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Saturday September 4","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360608778893947601318359"
"Saturday September 4","IGI-AX DB","47.07","1","HD#1: 200 GB","200","202.08165415003895759582519532"
"Saturday September 4","Elbatal-newcrm","26.30","1","HD#1: 170 GB","170","186.08504305500537157058715821"
"Saturday September 4","Misr-TestDB","9.64","1","HD#1: 100 GB","100","104.08143782615661621093750000"
"Saturday September 4","Misr-MagentoDB1","25.64","1","HD#1: 512 GB","512","520.09391454793512821197509766"
"Saturday September 4","Misr-MagentoDB2","25.35","1","HD#1: 512 GB","512","520.09380633383989334106445313"
"Saturday September 4","Misr-MagentoWeb1","14.80","1","HD#1: 256 GB","256","264.09415414463728666305541992"
"Saturday September 4","Frank-Roaya-WebSite","24.59","1","HD#1: 300 GB","300","308.08490180782973766326904297"
"Saturday September 4","Frank-WP-WebSite","44.22","1","HD#1: 300 GB","300","342.59607448056340217590332032"
"Saturday September 4","Sap Router","24.08","1","HD#1: 20 GB","20","24.081062011420726776123046875"
"Saturday September 4","Misr-MagentoWeb2","17.11","1","HD#1: 256 GB","256","264.09316177573055028915405274"
"Saturday September 4","Solex-demo-ectr","584.76","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1012673983350396156311035"
"Saturday September 4","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081352472305297851562500000"
"Saturday September 4","SOLEX-SOLMAN-JAVA","123.51","1","HD#1: 300 GB","300","332.06121298857033252716064453"
"Saturday September 4","test sophos","198.77","2","HD#1: 200 GB, HD#2: 40 GB","240","248.08649216312915086746215820"
"Saturday September 4","ALFA-DAXRPT-COPY","633.27","1","HD#1: 650 GB","650","666.21661805361509323120117187"
"Saturday September 4","Jump-server-Abdo","165.77","1","HD#1: 500 GB","500","516.08621044363826513290405273"
"Saturday September 4","Mis-SAP-H-DB","1870.33","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381406536325812339782715"
"Saturday September 4","MISR-TSMS","55.06","1","HD#1: 60 GB","60","68.086264717392623424530029297"
"Saturday September 4","Jump-Server-Moataz","27.42","1","HD#1: 100 GB","100","116.08629497047513723373413086"
"Saturday September 4","Mis-Prod-APP-copy","2295.27","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425314685329794883728027"
"Saturday September 4","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1785032404586672782897950"
"Saturday September 4","RADUIS-Server","31.16","1","HD#1: 100 GB","100","108.08841628581285476684570312"
"Saturday September 4","Mis-CAR-PRD APP Server","95.31","1","HD#1: 2048 GB","2048","2080.0944731542840600013732910"
"Saturday September 4","sofos_virtual_vm8","23.39","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07935318537056446075439453"
"Saturday September 4","el batal crm","103.49","1","HD#1: 340 GB","340","372.09008584637194871902465820"
"Saturday September 4","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Saturday September 4","Mis-Manage","60.10","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08008396252989768981933594"
"Saturday September 4","MIS-CRM-PRD APP Server","426.78","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413747426122426986694336"
"Saturday September 4","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382884463295340538024902"
"Saturday September 4","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479706570506095886230469"
"Saturday September 4","EU1FE3113","299.44","1","HD#1: 500 GB","500","532.09423389099538326263427734"
"Saturday September 4","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Saturday September 4","EU1FE9333","216.61","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0938632227480411529541016"
"Saturday September 4","Frank-ADC-02","39.15","1","HD#1: 100 GB","100","116.08649501670151948928833008"
"Saturday September 4","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734254851937294006347656"
"Saturday September 4","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Saturday September 4","EU1FE3110","275.62","1","HD#1: 500 GB","500","532.09504730999469757080078125"
"Saturday September 4","frank-veeamone","45.55","1","HD#1: 200 GB","200","220.09338206890970468521118164"
"Saturday September 4","Jump-Nada","44.47","1","HD#1: 200 GB","200","208.08667572587728500366210938"
"Saturday September 4","Jump-Server-MAli","34.79","1","HD#1: 100 GB","100","116.08634532708674669265747071"
"Saturday September 4","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Saturday September 4","Frank-KSE-SQL","67.69","1","HD#1: 250 GB","250","266.08648392558097839355468750"
"Saturday September 4","shared iso","13.52","1","HD#1: 300 GB","300","308.21294185519218444824218750"
"Saturday September 4","Jump-Server-Karim","187.42","1","HD#1: 700 GB","700","716.08678755629807710647583008"
"Saturday September 4","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08583066146820783615112304"
"Saturday September 4","EU1FE9111","207.83","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0919742612168192863464356"
"Saturday September 4","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421899897977709770202636"
"Saturday September 4","Developers-VM6-Copy","32.71","1","HD#1: 500 GB","500","516.19584965519607067108154297"
"Saturday September 4","EU1FE9444","222.73","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0941821094602346420288086"
"Saturday September 4","Frank-PST-New01","5769.52","3","HD#1: 150 GB, HD#2: 2048 GB, HD#3: 5120 GB","7318","7334.0866932375356554985046386"
"Saturday September 4","EU1FE3111","274.25","1","HD#1: 500 GB","500","532.09517322946339845657348633"
"Saturday September 4","IGI-AD","23.29","1","HD#1: 32 GB","32","33.081909387372434139251708985"
"Saturday September 4","MISR-IVENDMC2","73.13","1","HD#1: 100 GB","100","116.09059905353933572769165039"
"Saturday September 4","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930753292515873908996582"
"Saturday September 4","jump-hamd","17.75","1","HD#1: 300 GB","300","308.08636007178574800491333008"
"Saturday September 4","jump-wahba","37.61","1","HD#1: 100 GB","100","116.08658512122929096221923828"
"Saturday September 4","jump-eslam","75.96","1","HD#1: 300 GB","300","308.08647177089005708694458008"
"Saturday September 4","Misr-Testapp","9.50","1","HD#1: 100 GB","100","104.08195504732429981231689453"
"Saturday September 4","EventLog-Analyzer","21.13","1","HD#1: 500 GB","500","508.21374985668808221817016602"
"Saturday September 4","Mis-ERP DEV-PRD APP Server","766.21","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0885780984535813331604004"
"Saturday September 4","Sama","20.82","1","HD#1: 200 GB","200","208.08616482652723789215087891"
