"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Sunday August 29","IGI-AX DB","13.27","1","HD#1: 200 GB","200","202.08152141235768795013427735"
"Sunday August 29","Elbatal-newcrm","21.69","1","HD#1: 170 GB","170","186.08503157272934913635253907"
"Sunday August 29","Misr-TestDB","9.65","1","HD#1: 100 GB","100","104.08116887696087360382080078"
"Sunday August 29","Misr-MagentoDB1","25.70","1","HD#1: 512 GB","512","520.09300186671316623687744141"
"Sunday August 29","Misr-MagentoDB2","25.33","1","HD#1: 512 GB","512","520.09338190592825412750244141"
"Sunday August 29","Misr-MagentoWeb1","15.02","1","HD#1: 256 GB","256","264.09385394118726253509521485"
"Sunday August 29","Frank-Roaya-WebSite","28.72","1","HD#1: 300 GB","300","308.08462453726679086685180664"
"Sunday August 29","Frank-WP-WebSite","42.60","1","HD#1: 300 GB","300","342.59606878086924552917480469"
"Sunday August 29","Sap Router","24.08","1","HD#1: 20 GB","20","24.081061940640211105346679687"
"Sunday August 29","Misr-MagentoWeb2","16.95","1","HD#1: 256 GB","256","264.09311078395694494247436524"
"Sunday August 29","Solex-demo-ectr","584.72","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1012633554637432098388672"
"Sunday August 29","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081352472305297851562500000"
"Sunday August 29","SOLEX-SOLMAN-JAVA","123.18","1","HD#1: 300 GB","300","332.06113403476774692535400391"
"Sunday August 29","test sophos","198.80","2","HD#1: 200 GB, HD#2: 40 GB","240","248.08645661640912294387817383"
"Sunday August 29","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650","845.6054955935105681419372559"
"Sunday August 29","Jump-server-Abdo","162.09","1","HD#1: 500 GB","500","516.08616752363741397857666016"
"Sunday August 29","Mis-SAP-H-DB","1823.61","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381200863048434257507324"
"Sunday August 29","MISR-TSMS","54.60","1","HD#1: 60 GB","60","68.086198675446212291717529297"
"Sunday August 29","Jump-Server-Moataz","27.42","1","HD#1: 100 GB","100","116.0862380443140864372253418"
"Sunday August 29","Mis-Prod-APP-copy","441.86","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2336.3965359702706336975097656"
"Sunday August 29","Misr-ERPPRDDB","2330.94","1","HD#1: 3072 GB","3072","3914.3841156782582402229309082"
"Sunday August 29","RADUIS-Server","31.52","1","HD#1: 100 GB","100","108.08799338806420564651489258"
"Sunday August 29","Mis-CAR-PRD APP Server","95.22","1","HD#1: 2048 GB","2048","2080.0944727314636111259460449"
"Sunday August 29","sofos_virtual_vm8","22.60","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07935311459004878997802734"
"Sunday August 29","el batal crm","163.44","1","HD#1: 340 GB","340","454.24778178427368402481079101"
"Sunday August 29","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Sunday August 29","Mis-Manage","60.05","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08086077775806188583374024"
"Sunday August 29","MIS-CRM-PRD APP Server","426.72","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413560397922992706298828"
"Sunday August 29","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382884463295340538024902"
"Sunday August 29","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479699492454528808593750"
"Sunday August 29","EU1FE3113","253.82","1","HD#1: 500 GB","500","532.09421491529792547225952148"
"Sunday August 29","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Sunday August 29","EU1FE9333","210.63","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0938611309975385665893555"
