"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Sunday October 10","EL-DoctorFortiGate-VM64","7.54","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08574828505516052246093750"
"Sunday October 10","solex-S4-HANA-R5OJ-9/29","2008.82","2","HD#1: 200 GB, HD#2: 774 GB","974","2404.1127832606434822082519531"
"Sunday October 10","Diyaa-Lap","67.15","1","HD#1: 100 GB","100","116.08515559416264295578002930"
"Sunday October 10","Misr-Newvm","54.95","1","HD#1: 100 GB","100","108.08220585063099861145019531"
"Sunday October 10","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Sunday October 10","jump-hamd","17.83","1","HD#1: 300 GB","300","308.08647763449698686599731446"
"Sunday October 10","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Sunday October 10","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Sunday October 10","Misr-MagentoDB1","28.79","1","HD#1: 512 GB","512","520.09376368671655654907226563"
"Sunday October 10","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Sunday October 10","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691124968230724334716797"
"Sunday October 10","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Sunday October 10","jump-ahmed","71.05","1","HD#1: 500 GB","500","508.08631266467273235321044922"
"Sunday October 10","frank-veeamone","45.22","1","HD#1: 200 GB","200","220.09345019422471523284912109"
"Sunday October 10","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Sunday October 10","Jump-Server-Karim","193.63","1","HD#1: 700 GB","700","716.08688955195248126983642578"
"Sunday October 10","sofos_virtual_vm8","30.37","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07937710359692573547363281"
"Sunday October 10","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08622188121080398559570313"
"Sunday October 10","Mis-Additioanal Domain","24.04","1","HD#1: 50 GB","50","54.082167314365506172180175782"
"Sunday October 10","Misr-MTBIDEVAPP","147.04","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233748145401477813720703"
"Sunday October 10","Misr-Web Server-copy","56.06","1","HD#1: 80 GB","80","84.08234610781073570251464844"
"Sunday October 10","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706475608050823211669922"
"Sunday October 10","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Sunday October 10","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Sunday October 10","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Sunday October 10","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421679351478815078735352"
"Sunday October 10","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Sunday October 10","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Sunday October 10","MISR-MTBIDEVDB","1072.88","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181301306933164596557617"
"Sunday October 10","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.71","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Sunday October 10","MISR-TSMS","56.12","1","HD#1: 60 GB","60","68.086844587698578834533691406"
"Sunday October 10","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Sunday October 10","Misr-TestDB","11.90","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Sunday October 10","Mis-Prod-APP-copy","2280.54","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425569001585245132446289"
"Sunday October 10","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Sunday October 10","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958207800984382629394531"
"Sunday October 10","Frank-OfficeOnline02","69.81","1","HD#1: 100 GB","100","125.08632988855242729187011719"
"Sunday October 10","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08632194437086582183837891"
"Sunday October 10","el batal crm","75.59","1","HD#1: 340 GB","340","372.20171984191983938217163086"
"Sunday October 10","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Sunday October 10","Frank-OfficeOnline01","80.02","1","HD#1: 100 GB","100","125.08792550582438707351684570"
"Sunday October 10","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Sunday October 10","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08648112230002880096435547"
"Sunday October 10","Elbatal-newcrm","59.33","1","HD#1: 170 GB","170","202.08981393743306398391723632"
"Sunday October 10","test sophos","162.55","1","HD#1: 200 GB","200","208.08793927170336246490478515"
"Sunday October 10","MISR-CARQASAPP","198.92","1","HD#1: 1024 GB","1024","1160.1300393706187605857849121"
"Sunday October 10","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
"Sunday October 10","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Sunday October 10","ASFOUR-machine1","176.10","1","HD#1: 160 GB","160","176.10112001653760671615600586"
"Sunday October 10","Sama","31.68","1","HD#1: 200 GB","200","208.08677222020924091339111328"
"Sunday October 10","VMware vCenter Server Appliance 6.7-Witness","32.18","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1155.7922526141628623008728027"
"Sunday October 10","NFS-nextcloud-2021","28.88","1","HD#1: 500 GB","500","512.09271857049316167831420898"
"Sunday October 10","Jump-server-Abdo","204.40","1","HD#1: 600 GB","600","616.08639023918658494949340820"
"Sunday October 10","HAProxy","5.88","1","HD#1: 300 GB","300","316.19699565134942531585693359"
"Sunday October 10","Misr-ERPQASDB","1067.01","1","HD#1: 3072 GB","3072","3352.1261545773595571517944336"
"Sunday October 10","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139665288850665092468262"
"Sunday October 10","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Sunday October 10","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Sunday October 10","Frank-RODC-01","52.78","1","HD#1: 100 GB","100","116.08651444036513566970825195"
"Sunday October 10","next-cloud-NFS-server","45.10","1","HD#1: 500 GB","500","552.58994609024375677108764649"
"Sunday October 10","Misr-MagentoWeb1","18.30","1","HD#1: 256 GB","256","264.09374678693711757659912110"
"Sunday October 10","Misr-ENTERPRISESRV","1074.10","1","HD#1: 1024 GB","1024","1074.1036884132772684097290039"
"Sunday October 10","Frank-EventLog","3094.92","1","HD#1: 4024 GB","4024","4032.0862546153366565704345703"
"Sunday October 10","RADUIS-Server","31.36","1","HD#1: 100 GB","100","108.09009007550776004791259766"
"Sunday October 10","Mis-CAR-PRD APP Server","95.60","1","HD#1: 2048 GB","2048","2080.0943586453795433044433594"
"Sunday October 10","Misr-SQL-Instance","782.43","1","HD#1: 1024 GB","1024","1280.2058444311842322349548340"
"Sunday October 10","Misr-MagentoDB2","28.40","1","HD#1: 512 GB","512","520.09374590124934911727905274"
"Sunday October 10","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Sunday October 10","MISR-NFS","11737.78","2","HD#1: 50 GB, HD#2: 13312 GB","13362","13366.085998208262026309967041"
"Sunday October 10","Frank-DNS-MGMNT","53.32","2","HD#1: 100 GB, HD#2: 50 GB","150","166.08790321834385395050048828"
"Sunday October 10","openmange-Idrace-Managment","428.60","1","HD#1: 412.51 GB","412.51","428.59512121975421905517578125"
"Sunday October 10","Frank-Roaya-WebSite","24.61","1","HD#1: 300 GB","300","308.08589135296642780303955078"
"Sunday October 10","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930753292515873908996582"
"Sunday October 10","Mis-CAR-PRD DB Server","2772.83","1","HD#1: 2048 GB","2048","4183.3312987247481942176818848"
"Sunday October 10","VMware vCenter Server Appliance 6.7-Passive","364.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1454.7623544707894325256347656"
"Sunday October 10","Misr-Testapp","12.02","1","HD#1: 100 GB","100","104.08197442069649696350097656"
"Sunday October 10","Alfa-DAXRDS-yhsv-Copy","108.30","1","HD#1: 250 GB","250","282.09593095164746046066284179"
"Sunday October 10","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08583066146820783615112304"
"Sunday October 10","MIS-CRM-PRD DB Server","630.63","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000","2192.1419642325490713119506836"
"Sunday October 10","nextcloud-nfs","4.29","1","HD#1: 500 GB","500","508.21271698828786611557006836"
"Sunday October 10","IGI-AX-app","24.26","1","HD#1: 50 GB","50","52.085934014059603214263916015"
"Sunday October 10","Frank-ADC-03","41.98","1","HD#1: 100 GB","100","116.08651840221136808395385742"
"Sunday October 10","Mis-ERP DEV-PRD APP Server","770.85","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0883858287706971168518066"
"Sunday October 10","Mis-SAP-H-DB","1388.05","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381470387801527976989746"
"Sunday October 10","clone-nextcloud-dev-new-production","363.26","1","HD#1: 500 GB","500","850.1508025377988815307617188"
"Sunday October 10","MIS-CRM-PRD APP Server","427.09","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413760297000408172607422"
"Sunday October 10","Misr-ERPDEVDB","660.09","1","HD#1: 2355.20 GB","2355.2","2419.3100585527718067169189453"
"Sunday October 10","Misr-Tableau","126.78","1","HD#1: 150 GB","150","166.08618099987506866455078125"
"Sunday October 10","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1783329062163829803466797"
"Sunday October 10","MISR-SAP-CARAPP","116.60","1","HD#1: 2048 GB","2048","2112.1022208891808986663818360"
"Sunday October 10","Jump-Server-MAli","34.76","1","HD#1: 100 GB","100","116.08640530426055192947387696"
"Sunday October 10","Jump-Nada","45.68","1","HD#1: 200 GB","200","208.08693823497742414474487305"
"Sunday October 10","Kayan-Egypt","117.92","1","HD#1: 320 GB","320","336.08565921150147914886474610"
"Sunday October 10","Frank-Kbase-Source","347.42","2","HD#1: 100 GB, HD#2: 1024 GB","1124","1140.0864815441891551017761231"
"Sunday October 10","IGI-AD","21.74","1","HD#1: 32 GB","32","33.082182728685438632965087891"
"Sunday October 10","MISR-IVENDMC2","73.67","1","HD#1: 100 GB","100","116.09024604223668575286865234"
"Sunday October 10","centos-block-storage","14354.21","2","HD#1: 500 GB, HD#2: 14336 GB","14836","14848.088198372162878513336182"
"Sunday October 10","jump-eslam","108.17","1","HD#1: 300 GB","300","308.08635364752262830734252929"
"Sunday October 10","jump-wahba","21.30","1","HD#1: 100 GB","100","116.21430716291069984436035156"
"Sunday October 10","FortiGate","32.00","2","HD#1: 2 GB, HD#2: 30 GB","32","34.191492129117250442504882813"
"Sunday October 10","esxi2","70.80","1","HD#1: 1500 GB","1500","1516.0940657602623105049133301"
"Sunday October 10","Developers-VM6-Copy","31.75","1","HD#1: 500 GB","500","516.19610657263547182083129883"
"Sunday October 10","sandbox","19.93","1","HD#1: 300 GB","300","316.21816515736281871795654296"
"Sunday October 10","Mis-Winsows2012R2","870.73","4","HD#1: 150 GB, HD#2: 200 GB, HD#3: 700 GB, HD#4: 2048 GB","3098","3188.1180088603869080543518067"
"Sunday October 10","WP-Frank-Database3","400.00","1","HD#1: 400 GB","400","416.21424897480756044387817383"
"Sunday October 10","Misr-MagentoDBLoad","22.45","1","HD#1: 128 GB","128","136.09377849102020263671875000"
"Sunday October 10","esxi1","29.65","1","HD#1: 500 GB","500","520.09353139158338308334350586"
"Sunday October 10","Mis-Manage","58.67","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08034600690007209777832032"
"Sunday October 10","Misr-PIPRD","2070.11","2","HD#1: 10 GB, HD#2: 1900 GB","1910","2070.1103599090129137039184571"
"Sunday October 10","Frank-ADC-04","42.62","1","HD#1: 100 GB","100","116.08631328120827674865722656"
"Sunday October 10","IGI-windows8","30.24","1","HD#1: 32 GB","32","36.082352556288242340087890625"
"Sunday October 10","Mis-ERP DEV-PRD DB Server","262.60","3","HD#1: 150 GB, HD#2: 200 GB, HD#3: 2048 GB","2398","2438.1105822157114744186401367"
"Sunday October 10","MISR-CARQASDB","695.96","1","HD#1: 2048 GB","2048","2168.1378176473081111907958985"
"Sunday October 10","IGI-AX DB","47.27","1","HD#1: 200 GB","200","202.08198438584804534912109375"
"Sunday October 10","Misr-Qatr","530.90","1","HD#1: 500 GB","500","532.09482999052852392196655273"
"Sunday October 10","IGI-jump server","21.77","1","HD#1: 32 GB","32","36.082440096884965896606445313"
"Sunday October 10","Misr-MagentoWebLoad","18.88","1","HD#1: 128 GB","128","136.09377695806324481964111328"
"Sunday October 10","Misr-CARPRDAPP","974.11","2","HD#1: 10 GB, HD#2: 800 GB","810","974.1140624498948454856872559"
"Sunday October 10","Mis-Solman Server","627.20","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1800 GB","2100","2132.0944803422316908836364746"
"Sunday October 10","Misr-MagentoWeb2","20.49","1","HD#1: 256 GB","256","264.09398825280368328094482422"
"Sunday October 10","Solex-demo-ectr","590.52","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1016512895002961158752441"
"Sunday October 10","SolarWind-SAM","99.00","2","HD#1: 100 GB, HD#2: 200 GB","300","320.21402972191572189331054687"
"Sunday October 10","MISR-SAP-CARDB-copy","631.24","1","HD#1: 2048 GB","2048","2176.1419505439698696136474609"
"Sunday October 10","ihpgco Kuwait Windows - Backup(new)","165.80","1","HD#1: 250 GB","250","254.08286663517355918884277344"
"Sunday October 10","SOLEX-SOLMAN-JAVA","123.65","1","HD#1: 300 GB","300","332.06165870465338230133056640"
"Sunday October 10","Cloud Connector","20.00","1","HD#1: 20 GB","20","24.193264492787420749664306640"
"Sunday October 10","Office Libre-Production New 1104","155.62","1","HD#1: 160 GB","160","168.19725906196981668472290040"
"Sunday October 10","Mis-Backup","2121.31","2","HD#1: 60 GB, HD#2: 3072 GB","3132","3140.0941554345190525054931641"
"Sunday October 10","Exchange-DEV","500.10","2","HD#1: 500 GB, HD#2: 150 GB","650","670.22243304457515478134155273"
"Sunday October 10","Jump-Server-Tawfik","98.45","1","HD#1: 100 GB","100","120.09419643878936767578125000"
"Sunday October 10","Frank-OpenManage_Integration","85.98","1","HD#1: 85.98 GB","85.98","94.27992152702063322067260742"
"Sunday October 10","replaymanager","240.10","3","HD#1: 40 GB, HD#2: 200 GB, HD#3: 300 GB","540","552.22227030806243419647216797"
"Sunday October 10","VMware vCenter Server Appliance 6.7","45.37","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8949870802462100982666016"
"Sunday October 10","Misr-Router-02","44.10","1","HD#1: 60 GB","60","80.09760812483727931976318359"
"Sunday October 10","test","31.50","1","HD#1: 200 GB","200","208.08602971956133842468261719"
"Sunday October 10","Win10-test","10.50","1","HD#1: 50 GB","50","54.240673678927123546600341797"
"Sunday October 10","VMware-NSX-Manager","60.09","1","HD#1: 60 GB","60","60.085439980030059814453125000"
"Sunday October 10","VMware_vCloud_Director-10.0.0.4649-15450333","136.09","3","HD#1: 30 GB, HD#2: 2 GB, HD#3: 80 GB","112","136.09466062393039464950561523"
"Sunday October 10","Mis-CRM QAS & Dev DB Server","594.20","1","HD#1: 2048 GB","2048","2240.1410770202055573463439942"
"Sunday October 10","Misr-Router-01","76.09","1","HD#1: 60 GB","60","76.093510087579488754272460937"
"Sunday October 10","Elbassiouni WebSite Production","106.03","1","HD#1: 100 GB","100","106.08181088045239448547363281"
"Sunday October 10","md-masterbatch-website","36.05","1","HD#1: 100 GB","100","102.07988745346665382385253906"
"Sunday October 10","Ceramica-Cleoptra","183.43","1","HD#1: 180 GB","180","184.08215517085045576095581055"
"Sunday October 10","joy&roy","45.83","1","HD#1: 220 GB","220","236.20298806391656398773193359"
"Sunday October 10","elbassiony-Copy","379.52","2","HD#1: 200 GB, HD#2: 200 GB","400","416.08426262903958559036254883"
"Sunday October 10","DSITV-06.00.00.165","18.08","1","HD#1: 10 GB","10","18.081936061382293701171875000"
"Sunday October 10","Router-01","180.10","1","HD#1: 150 GB","150","180.10142342094331979751586914"
"Sunday October 10","WorldPosta WebSite","57.85","1","HD#1: 300 GB","300","316.08585154823958873748779297"
"Sunday October 10","ubuntu-dev","17.50","1","HD#1: 200 GB","200","208.19754799921065568923950195"
"Sunday October 10","Router-02","38.26","1","HD#1: 150 GB","150","170.09360835608094930648803711"
"Sunday October 10","Frank-PA-01","88.04","1","HD#1: 150 GB","150","190.09720011055469512939453125"
"Sunday October 10","Frank-NSX-Controller-02-NSX-controller-2","28.09","1","HD#1: 28 GB","28","28.085347978398203849792480469"
"Sunday October 10","MyCloud-AppLaunchPad","23.85","1","HD#1: 100 GB","100","116.08556342031806707382202149"
"Sunday October 10","Frank-PA-02","140.10","1","HD#1: 100 GB","100","140.09751630574464797973632812"
"Sunday October 10","MinIO","785.20","1","HD#1: 1024 GB","1024","1804.6128342319279909133911133"
"Sunday October 10","Roaya WebSite","133.55","1","HD#1: 100 GB","100","232.09744596201926469802856445"
"Sunday October 10","dev-ubuntu-21","28.23","1","HD#1: 500 GB","500","508.08592701610177755355834960"
"Sunday October 10","DSMBuildVM-20","11.28","3","HD#1: 15 GB, HD#2: 15 GB, HD#3: 20 GB","50","58.209652236662805080413818359"
"Sunday October 10","MyCloud-NFS","218.79","2","HD#1: 100 GB, HD#2: 500 GB","600","616.09341854695230722427368164"
"Sunday October 10","WorldPosta Website 02","316.09","1","HD#1: 300 GB","300","316.08563684113323688507080078"
"Sunday October 10","centos-Backup-vcenter","41.04","1","HD#1: 500 GB","500","508.08432667516171932220458984"
"Sunday October 10","Frank-NSX-Controller-01-NSX-controller-1","28.09","1","HD#1: 28 GB","28","28.085346831008791923522949219"
"Sunday October 10","Frank-NSX-Controller-03-NSX-controller-3","28.09","1","HD#1: 28 GB","28","28.085347522981464862823486328"
"Sunday October 10","WP-Coturn-Videostreaming","16.54","1","HD#1: 160 GB","160","164.08576965890824794769287109"
"Sunday October 10","MyCloud-AMQP","22.52","1","HD#1: 100 GB","100","116.08553681708872318267822265"
"Sunday October 10","Dell-EMC-01","18.08","1","HD#1: 10 GB","10","18.081944833509624004364013672"
"Sunday October 10","Solid-CP-DB-copy-13","339.43","1","HD#1: 600 GB","600","612.20518307760357856750488281"
"Sunday October 10","Developers-VM9-g6uv","569.11","1","HD#1: 500 GB","500","1067.0809185635298490524291992"
"Sunday October 10","Frank-Tools","18.27","1","HD#1: 100 GB","100","125.22184199932962656021118164"
"Sunday October 10","Developers-VM8-jTLN","55.46","1","HD#1: 300 GB","300","308.12564132548868656158447266"
"Sunday October 10","Developers-VM6-Q6b7","65.10","1","HD#1: 500 GB","500","516.16569249425083398818969727"
"Sunday October 10","nextcloud-dev-new-production","1710.64","1","HD#1: 500 GB","500","1765.8990179402753710746765137"
"Sunday October 10","vse-LeadersCO (e518df4f-a749-4c07-8e0b-5abac75e25c3)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3986924374476075172424316406"
"Sunday October 10","vse-Diyaa-LAP-EDGE (1641a623-4b51-46d4-b0c5-643d0d143900)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3987027062103152275085449219"
"Sunday October 10","vse-Asfour-Crystal (7f8b90ec-98b9-4ecd-afa3-c32f5b5d9bc2)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3989416817203164100646972657"
"Sunday October 10","vse-Ramy-mahrous (d2d14133-dd2b-4485-8ba7-a4a0cf64c282)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3986921701580286026000976562"
"Sunday October 10","vse-IGI (71406d74-8aa6-4f9d-8b98-4703ec25c2c6)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3986926460638642311096191406"
"Sunday October 10","vse-EL_Doctor_company (e1476256-9c5d-427b-ac8a-9fcca4ce43ae)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3989519337192177772521972656"
"Sunday October 10","vse-ITVisionary (3f399e67-4b4d-4629-9702-396841db5f80)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3989455588161945343017578125"
"Sunday October 10","vse-solex-edge (fab0b166-093a-431b-bdb0-08bc63a71b24)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3989513665437698364257812500"
"Sunday October 10","vse-Demo (2a1cd3aa-1b88-4de4-a85d-7c05601d750f)-0","1.40","2","HD#1: 0.57 GB, HD#2: 0.5 GB","1.07","1.3987026112154126167297363281"
