"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Sunday September 19","clone-nextcloud-dev-new-production","327.05","1","HD#1: 500 GB","500","818.1464753663167357444763184"
"Sunday September 19","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Sunday September 19","IGI-AX DB","47.50","1","HD#1: 200 GB","200","202.08200534805655479431152344"
"Sunday September 19","Elbatal-newcrm","56.46","1","HD#1: 170 GB","170","202.08921812940388917922973633"
"Sunday September 19","Misr-TestDB","11.18","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Sunday September 19","Misr-MagentoDB1","27.18","1","HD#1: 512 GB","512","520.09375419374555349349975586"
"Sunday September 19","Misr-MagentoDB2","27.01","1","HD#1: 512 GB","512","520.09375965036451816558837891"
"Sunday September 19","Misr-MagentoWeb1","16.93","1","HD#1: 256 GB","256","264.09384017437696456909179688"
"Sunday September 19","Frank-Roaya-WebSite","24.46","1","HD#1: 300 GB","300","308.08592572994530200958251953"
"Sunday September 19","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59689908847212791442871094"
"Sunday September 19","Sap Router","24.08","1","HD#1: 20 GB","20","24.081335570663213729858398437"
"Sunday September 19","Misr-MagentoWeb2","19.22","1","HD#1: 256 GB","256","264.09398998785763978958129883"
"Sunday September 19","Solex-demo-ectr","590.35","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1016763811931014060974121"
"Sunday September 19","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081641786731779575347900390"
"Sunday September 19","SOLEX-SOLMAN-JAVA","123.56","1","HD#1: 300 GB","300","332.06164530105888843536376953"
"Sunday September 19","test sophos","212.70","2","HD#1: 200 GB, HD#2: 40 GB","240","248.21560940425843000411987305"
"Sunday September 19","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Sunday September 19","Jump-server-Abdo","194.63","1","HD#1: 500 GB","500","516.08630501851439476013183594"
"Sunday September 19","Mis-SAP-H-DB","1267.90","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381442541256546974182129"
"Sunday September 19","MISR-TSMS","56.41","1","HD#1: 60 GB","60","68.086550127714872360229492188"
"Sunday September 19","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08628330752253532409667969"
"Sunday September 19","Mis-Prod-APP-copy","2293.04","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425495389848947525024414"
"Sunday September 19","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1782903149724006652832031"
"Sunday September 19","RADUIS-Server","30.64","1","HD#1: 100 GB","100","108.08952017314732074737548828"
"Sunday September 19","Mis-CAR-PRD APP Server","95.48","1","HD#1: 2048 GB","2048","2080.0944874202832579612731934"
"Sunday September 19","sofos_virtual_vm8","26.08","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07935346849262714385986328"
"Sunday September 19","el batal crm","107.65","1","HD#1: 340 GB","340","372.09004447422921657562255859"
"Sunday September 19","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Sunday September 19","Mis-Manage","60.52","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08014853950589895248413086"
"Sunday September 19","MIS-CRM-PRD APP Server","426.78","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413756329566240310668945"
"Sunday September 19","NFS-nextcloud-2021","29.09","1","HD#1: 500 GB","500","512.09271779190748929977416992"
"Sunday September 19","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382884463295340538024902"
"Sunday September 19","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479713648557662963867188"
"Sunday September 19","EU1FE3113","311.42","1","HD#1: 500 GB","500","532.09424796886742115020751953"
"Sunday September 19","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Sunday September 19","EU1FE9333","235.75","2","HD#1: 500 GB, HD#2: 500 GB","1000","1032.0943094110116362571716309"
"Sunday September 19","Frank-ADC-02","42.94","1","HD#1: 100 GB","100","116.08653147518634796142578125"
"Sunday September 19","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734254851937294006347656"
"Sunday September 19","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Sunday September 19","EU1FE3110","314.00","1","HD#1: 500 GB","500","532.09563709516078233718872070"
"Sunday September 19","frank-veeamone","46.33","1","HD#1: 200 GB","200","220.09340695478022098541259765"
"Sunday September 19","Jump-Nada","41.76","1","HD#1: 200 GB","200","208.08677803352475166320800782"
"Sunday September 19","Jump-Server-MAli","34.84","1","HD#1: 100 GB","100","116.08634362742304801940917969"
"Sunday September 19","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Sunday September 19","Frank-KSE-SQL","70.54","1","HD#1: 250 GB","250","266.08660581614822149276733399"
"Sunday September 19","shared iso","13.52","1","HD#1: 300 GB","300","308.21294185519218444824218750"
"Sunday September 19","Jump-Server-Karim","191.83","1","HD#1: 700 GB","700","716.08683543745428323745727539"
