"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Thursday August 19","Sap Router","24.08","1","HD#1: 20 GB","20","24.081059810705482959747314453"
"Thursday August 19","Solex-demo-ectr","584.70","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1012406051158905029296875"
"Thursday August 19","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081350418739020824432373047"
"Thursday August 19","SOLEX-SOLMAN-JAVA","123.14","1","HD#1: 300 GB","300","332.06113143730908632278442383"
"Thursday August 19","test sophos","167.07","1","HD#1: 200 GB","200","208.08610340859740972518920898"
"Thursday August 19","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650","845.6054955199360847473144531"
"Thursday August 19","Jump-server-Abdo","162.79","1","HD#1: 500 GB","500","516.08664487581700086593627930"
"Thursday August 19","Mis-SAP-H-DB","1736.77","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381369106471538543701172"
"Thursday August 19","MISR-TSMS","55.40","1","HD#1: 60 GB","60","68.085988435894250869750976563"
"Thursday August 19","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08619842492043972015380860"
"Thursday August 19","Mis-Prod-APP-copy","441.62","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2336.3965306030586361885070800"
"Thursday August 19","Misr-ERPPRDDB","2077.27","1","HD#1: 3072 GB","3072","3914.3841124987229704856872559"
"Thursday August 19","RADUIS-Server","30.90","1","HD#1: 100 GB","100","108.08728497289121150970458984"
"Thursday August 19","Mis-CAR-PRD APP Server","95.20","1","HD#1: 2048 GB","2048","2080.0944698993116617202758789"
"Thursday August 19","frank-d35","4435.27","6","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 2048 GB, HD#5: 2048 GB, HD#6: 200 GB","8592","8616.094213749282062053680420"
"Thursday August 19","sofos_virtual_vm8","17.21","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07935084030032157897949219"
"Thursday August 19","el batal crm","151.14","1","HD#1: 340 GB","340","454.24751727189868688583374023"
"Thursday August 19","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339371100068092346191406"
"Thursday August 19","Mis-Manage","59.65","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08085475303232669830322266"
"Thursday August 19","MIS-CRM-PRD APP Server","426.45","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413507359102368354797363"
"Thursday August 19","VMware vCenter Server Appliance 6.7-Witness","31.13","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1123.7382860463112592697143555"
"Thursday August 19","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479174505919218063354493"
"Thursday August 19","EU1FE3113","225.26","1","HD#1: 500 GB","500","532.09578837174922227859497070"
"Thursday August 19","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
