"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Thursday October 7","EL-DoctorFortiGate-VM64","7.53","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08573126513510942459106446"
"Thursday October 7","solex-S4-HANA-R5OJ-9/29","1336.42","2","HD#1: 200 GB, HD#2: 774 GB","974","1974.2633156720548868179321289"
"Thursday October 7","Diyaa-Lap","65.73","1","HD#1: 100 GB","100","116.08515502698719501495361328"
"Thursday October 7","Misr-Newvm","54.30","1","HD#1: 100 GB","100","108.08220485597848892211914062"
"Thursday October 7","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Thursday October 7","jump-hamd","17.83","1","HD#1: 300 GB","300","308.08647709246724843978881836"
"Thursday October 7","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Thursday October 7","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Thursday October 7","Misr-MagentoDB1","28.21","1","HD#1: 512 GB","512","520.09376262780278921127319336"
"Thursday October 7","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Thursday October 7","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691124968230724334716797"
"Thursday October 7","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Thursday October 7","jump-ahmed","74.37","1","HD#1: 500 GB","500","508.08631139900535345077514649"
"Thursday October 7","frank-veeamone","45.22","1","HD#1: 200 GB","200","220.09344985242933034896850586"
"Thursday October 7","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Thursday October 7","Jump-Server-Karim","196.99","1","HD#1: 700 GB","700","716.08688723109662532806396485"
"Thursday October 7","sofos_virtual_vm8","29.90","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07937194034457206726074219"
"Thursday October 7","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.0862206695601344108581543"
"Thursday October 7","Mis-Additioanal Domain","23.78","1","HD#1: 50 GB","50","54.082166319712996482849121094"
"Thursday October 7","Misr-MTBIDEVAPP","147.02","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233720578253269195556640"
"Thursday October 7","Misr-Web Server-copy","52.16","1","HD#1: 80 GB","80","84.08233694080263376235961914"
"Thursday October 7","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706413209438323974609375"
"Thursday October 7","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Thursday October 7","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Thursday October 7","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Thursday October 7","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421676594763994216918946"
"Thursday October 7","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Thursday October 7","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Thursday October 7","MISR-MTBIDEVDB","1072.68","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181317409500479698181152"
"Thursday October 7","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.71","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Thursday October 7","MISR-TSMS","55.88","1","HD#1: 60 GB","60","68.086842713877558708190917969"
"Thursday October 7","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Thursday October 7","Misr-TestDB","11.44","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Thursday October 7","Mis-Prod-APP-copy","2280.83","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425559660419821739196777"
"Thursday October 7","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Thursday October 7","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958207800984382629394531"
"Thursday October 7","Frank-OfficeOnline02","69.83","1","HD#1: 100 GB","100","125.08632867410778999328613281"
"Thursday October 7","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08632087707519531250000000"
"Thursday October 7","el batal crm","75.59","1","HD#1: 340 GB","340","372.20171984191983938217163086"
"Thursday October 7","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Thursday October 7","Frank-OfficeOnline01","80.04","1","HD#1: 100 GB","100","125.08792416844516992568969726"
"Thursday October 7","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Thursday October 7","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08647650666534900665283203"
"Thursday October 7","Elbatal-newcrm","59.32","1","HD#1: 170 GB","170","202.08981286920607089996337890"
"Thursday October 7","test sophos","174.87","1","HD#1: 200 GB","200","208.08793927170336246490478515"
"Thursday October 7","MISR-CARQASAPP","198.92","1","HD#1: 1024 GB","1024","1160.1300390949472784996032715"
"Thursday October 7","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
"Thursday October 7","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Thursday October 7","ASFOUR-machine1","176.10","1","HD#1: 160 GB","160","176.10112001653760671615600586"
"Thursday October 7","Sama","31.68","1","HD#1: 200 GB","200","208.08677222020924091339111328"
"Thursday October 7","VMware vCenter Server Appliance 6.7-Witness","32.18","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1155.7922526141628623008728027"
"Thursday October 7","NFS-nextcloud-2021","28.68","1","HD#1: 500 GB","500","512.09271857049316167831420898"
"Thursday October 7","Jump-server-Abdo","204.41","1","HD#1: 600 GB","600","616.08638980984687805175781250"
"Thursday October 7","HAProxy","5.88","1","HD#1: 300 GB","300","316.19699565134942531585693359"
"Thursday October 7","Misr-ERPQASDB","1066.99","1","HD#1: 3072 GB","3072","3352.1261543016880750656127930"
"Thursday October 7","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139665288850665092468262"
"Thursday October 7","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Thursday October 7","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Thursday October 7","Frank-RODC-01","52.74","1","HD#1: 100 GB","100","116.08651298377662897109985352"
"Thursday October 7","next-cloud-NFS-server","45.10","1","HD#1: 500 GB","500","552.58994609024375677108764649"
"Thursday October 7","Misr-MagentoWeb1","17.55","1","HD#1: 256 GB","256","264.09374678693711757659912110"
"Thursday October 7","Misr-ENTERPRISESRV","1074.10","1","HD#1: 1024 GB","1024","1074.1036781491711735725402832"
"Thursday October 7","Frank-EventLog","3094.91","1","HD#1: 4024 GB","4024","4032.0862532798200845718383789"
"Thursday October 7","RADUIS-Server","31.36","1","HD#1: 100 GB","100","108.09009007550776004791259766"
"Thursday October 7","Mis-CAR-PRD APP Server","95.60","1","HD#1: 2048 GB","2048","2080.0943586453795433044433594"
"Thursday October 7","Misr-SQL-Instance","781.39","1","HD#1: 1024 GB","1024","1280.2058432539924979209899902"
"Thursday October 7","Misr-MagentoDB2","27.91","1","HD#1: 512 GB","512","520.09374590124934911727905274"
"Thursday October 7","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Thursday October 7","MISR-NFS","11737.19","2","HD#1: 50 GB, HD#2: 13312 GB","13362","13366.085994406603276729583740"
"Thursday October 7","Frank-DNS-MGMNT","53.32","2","HD#1: 100 GB, HD#2: 50 GB","150","166.08790148887783288955688476"
"Thursday October 7","openmange-Idrace-Managment","428.60","1","HD#1: 412.51 GB","412.51","428.59512121975421905517578125"
"Thursday October 7","Frank-Roaya-WebSite","24.48","1","HD#1: 300 GB","300","308.08589135296642780303955078"
"Thursday October 7","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930753292515873908996582"
"Thursday October 7","Mis-CAR-PRD DB Server","2740.49","1","HD#1: 2048 GB","2048","4183.3312981734052300453186036"
"Thursday October 7","VMware vCenter Server Appliance 6.7-Passive","361.42","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1454.7623533792793750762939453"
"Thursday October 7","Misr-Testapp","11.43","1","HD#1: 100 GB","100","104.08197442069649696350097656"
"Thursday October 7","Alfa-DAXRDS-yhsv-Copy","107.90","1","HD#1: 250 GB","250","282.09583426918834447860717773"
"Thursday October 7","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08583066146820783615112304"
"Thursday October 7","MIS-CRM-PRD DB Server","630.63","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000","2192.1419642325490713119506836"
"Thursday October 7","nextcloud-nfs","4.29","1","HD#1: 500 GB","500","508.21271698828786611557006836"
"Thursday October 7","IGI-AX-app","24.26","1","HD#1: 50 GB","50","52.085932963527739048004150390"
"Thursday October 7","Frank-ADC-03","41.06","1","HD#1: 100 GB","100","116.08651746157556772232055664"
"Thursday October 7","Mis-ERP DEV-PRD APP Server","770.85","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0883828848600387573242187"
"Thursday October 7","Mis-SAP-H-DB","1355.89","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381467603147029876708984"
"Thursday October 7","clone-nextcloud-dev-new-production","363.17","1","HD#1: 500 GB","500","850.1508025377988815307617188"
"Thursday October 7","MIS-CRM-PRD APP Server","427.09","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413760297000408172607422"
"Thursday October 7","Misr-ERPDEVDB","652.80","1","HD#1: 2355.20 GB","2355.2","2419.3100585527718067169189453"
"Thursday October 7","Misr-Tableau","127.10","1","HD#1: 150 GB","150","166.08617940731346607208251953"
"Thursday October 7","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1783326305449008941650390"
"Thursday October 7","MISR-SAP-CARAPP","116.60","1","HD#1: 2048 GB","2048","2112.1022383868694305419921875"
"Thursday October 7","Jump-Server-MAli","34.76","1","HD#1: 100 GB","100","116.08640371449291706085205079"
