"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Thursday September 16","clone-nextcloud-dev-new-production","294.28","1","HD#1: 500 GB","500","818.2578497482463717460632324"
"Thursday September 16","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Thursday September 16","IGI-AX DB","47.49","1","HD#1: 200 GB","200","202.08200417272746562957763672"
"Thursday September 16","Elbatal-newcrm","56.43","1","HD#1: 170 GB","170","202.08921812940388917922973633"
"Thursday September 16","Misr-TestDB","10.58","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Thursday September 16","Misr-MagentoDB1","26.74","1","HD#1: 512 GB","512","520.09375327639281749725341797"
"Thursday September 16","Misr-MagentoDB2","26.44","1","HD#1: 512 GB","512","520.09375965036451816558837891"
"Thursday September 16","Misr-MagentoWeb1","16.20","1","HD#1: 256 GB","256","264.09384017437696456909179688"
"Thursday September 16","Frank-Roaya-WebSite","24.46","1","HD#1: 300 GB","300","308.08602378331124782562255859"
"Thursday September 16","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59689908847212791442871094"
"Thursday September 16","Sap Router","24.08","1","HD#1: 20 GB","20","24.081062011420726776123046875"
"Thursday September 16","Misr-MagentoWeb2","18.54","1","HD#1: 256 GB","256","264.09398998785763978958129883"
"Thursday September 16","Solex-demo-ectr","590.35","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1013183919712901115417480"
"Thursday September 16","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081352472305297851562500000"
"Thursday September 16","SOLEX-SOLMAN-JAVA","123.54","1","HD#1: 300 GB","300","332.06163539923727512359619140"
"Thursday September 16","test sophos","212.70","2","HD#1: 200 GB, HD#2: 40 GB","240","248.21560940425843000411987305"
"Thursday September 16","ALFA-DAXRPT-COPY","633.27","1","HD#1: 650 GB","650","666.21661805361509323120117187"
"Thursday September 16","Jump-server-Abdo","194.19","1","HD#1: 500 GB","500","516.08629985433071851730346680"
"Thursday September 16","Mis-SAP-H-DB","1191.43","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381439784541726112365722"
"Thursday September 16","MISR-TSMS","55.36","1","HD#1: 60 GB","60","68.086529892869293689727783203"
"Thursday September 16","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08628204185515642166137696"
