"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Tuesday August 24","Misr-TestDB","7.56","1","HD#1: 100 GB","100","104.08060781564563512802124024"
"Tuesday August 24","Misr-MagentoDB1","24.77","1","HD#1: 512 GB","512","520.09264576435089111328125000"
"Tuesday August 24","Misr-MagentoDB2","24.49","1","HD#1: 512 GB","512","520.09276037942618131637573243"
"Tuesday August 24","Misr-MagentoWeb1","14.11","1","HD#1: 256 GB","256","264.09323689527809619903564453"
"Tuesday August 24","Frank-Roaya-WebSite","28.03","1","HD#1: 300 GB","300","308.08432731591165065765380859"
"Tuesday August 24","Frank-WP-WebSite","29.84","1","HD#1: 300 GB","300","308.08427496347576379776000977"
"Tuesday August 24","Sap Router","24.08","1","HD#1: 20 GB","20","24.081059881485998630523681641"
"Tuesday August 24","Misr-MagentoWeb2","15.93","1","HD#1: 256 GB","256","264.09275278542190790176391602"
"Tuesday August 24","Solex-demo-ectr","584.71","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1012511318549513816833496"
"Tuesday August 24","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081350489519536495208740234"
"Tuesday August 24","SOLEX-SOLMAN-JAVA","123.16","1","HD#1: 300 GB","300","332.06113197561353445053100586"
"Tuesday August 24","test sophos","161.00","1","HD#1: 200 GB","200","208.08635096997022628784179687"
"Tuesday August 24","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650","845.6054955199360847473144531"
"Tuesday August 24","Jump-server-Abdo","166.53","1","HD#1: 500 GB","500","516.08665473386645317077636719"
"Tuesday August 24","Mis-SAP-H-DB","1785.42","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381374675780534744262695"
"Tuesday August 24","MISR-TSMS","55.29","1","HD#1: 60 GB","60","68.086059898138046264648437500"
"Tuesday August 24","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08619690872728824615478516"
"Tuesday August 24","Mis-Prod-APP-copy","441.62","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2336.3965324414893984794616699"
"Tuesday August 24","Misr-ERPPRDDB","2199.85","1","HD#1: 3072 GB","3072","3914.3841132065281271934509278"
"Tuesday August 24","RADUIS-Server","31.50","1","HD#1: 100 GB","100","108.08763717394322156906127930"
"Tuesday August 24","Mis-CAR-PRD APP Server","95.21","1","HD#1: 2048 GB","2048","2080.0944705298170447349548340"
"Tuesday August 24","frank-d35","4414.10","6","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 2048 GB, HD#5: 2048 GB, HD#6: 200 GB","8592","8616.221998966298997402191162"
