"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Tuesday October 12","Ahmed-centos-test","21.20","1","HD#1: 100 GB","100","116.09240010939538478851318359"
"Tuesday October 12","Madkour-Sharepoint-01","42.50","1","HD#1: 200 GB","200","232.09279494732618331909179687"
"Tuesday October 12","Madkour-Exchange-01","42.52","1","HD#1: 200 GB","200","232.09254453517496585845947265"
"Tuesday October 12","EL-DoctorFortiGate-VM64","7.54","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08575712703168392181396485"
"Tuesday October 12","solex-S4-HANA-R5OJ-9/29","1811.42","2","HD#1: 200 GB, HD#2: 774 GB","974","2404.1140036992728710174560547"
"Tuesday October 12","Diyaa-Lap","66.03","1","HD#1: 100 GB","100","116.08515613246709108352661133"
"Tuesday October 12","Misr-Newvm","54.61","1","HD#1: 100 GB","100","108.08220651373267173767089844"
"Tuesday October 12","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Tuesday October 12","jump-hamd","17.83","1","HD#1: 300 GB","300","308.08647799585014581680297852"
"Tuesday October 12","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Tuesday October 12","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Tuesday October 12","Misr-MagentoDB1","28.09","1","HD#1: 512 GB","512","520.09376435820013284683227540"
"Tuesday October 12","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Tuesday October 12","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691139124333858489990235"
"Tuesday October 12","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Tuesday October 12","jump-ahmed","71.37","1","HD#1: 500 GB","500","508.08631373010575771331787110"
"Tuesday October 12","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Tuesday October 12","Jump-Server-Karim","193.80","1","HD#1: 700 GB","700","716.08689142856746912002563477"
"Tuesday October 12","sofos_virtual_vm8","30.37","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07937950734049081802368164"
"Tuesday October 12","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08622267097234725952148438"
"Tuesday October 12","Mis-Additioanal Domain","24.02","1","HD#1: 50 GB","50","54.082167977467179298400878906"
"Tuesday October 12","Misr-MTBIDEVAPP","147.04","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233775712549686431884765"
"Tuesday October 12","Misr-Web Server-copy","56.05","1","HD#1: 80 GB","80","84.08235605247318744659423828"
"Tuesday October 12","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706538844853639602661133"
"Tuesday October 12","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
