"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Tuesday September 21","clone-nextcloud-dev-new-production","801.44","1","HD#1: 500 GB","500","850.1508021838963031768798828"
"Tuesday September 21","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Tuesday September 21","IGI-AX DB","47.50","1","HD#1: 200 GB","200","202.08200618345290422439575196"
"Tuesday September 21","Elbatal-newcrm","56.49","1","HD#1: 170 GB","170","202.08948089368641376495361329"
"Tuesday September 21","Misr-TestDB","10.40","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Tuesday September 21","Misr-MagentoDB1","26.50","1","HD#1: 512 GB","512","520.09375486150383949279785157"
"Tuesday September 21","Misr-MagentoDB2","26.38","1","HD#1: 512 GB","512","520.09375965036451816558837891"
"Tuesday September 21","Misr-MagentoWeb1","15.96","1","HD#1: 256 GB","256","264.09384017437696456909179688"
"Tuesday September 21","Frank-Roaya-WebSite","24.46","1","HD#1: 300 GB","300","308.08592572994530200958251953"
"Tuesday September 21","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59689908847212791442871094"
"Tuesday September 21","Sap Router","24.08","1","HD#1: 20 GB","20","24.081336190924048423767089843"
"Tuesday September 21","Misr-MagentoWeb2","18.07","1","HD#1: 256 GB","256","264.09398998785763978958129883"
"Tuesday September 21","Solex-demo-ectr","590.36","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1016805497929453849792480"
"Tuesday September 21","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081642493605613708496093750"
"Tuesday September 21","SOLEX-SOLMAN-JAVA","123.55","1","HD#1: 300 GB","300","332.06164839398115873336791992"
"Tuesday September 21","test sophos","172.70","1","HD#1: 200 GB","200","208.21560861915349960327148437"
"Tuesday September 21","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Tuesday September 21","Jump-server-Abdo","195.27","1","HD#1: 500 GB","500","516.08631924446672201156616211"
"Tuesday September 21","Mis-SAP-H-DB","1236.12","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381445325911045074462890"
"Tuesday September 21","MISR-TSMS","55.80","1","HD#1: 60 GB","60","68.086567075923085212707519531"
"Tuesday September 21","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08628453128039836883544922"
"Tuesday September 21","Mis-Prod-APP-copy","2292.84","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425502020865678787231445"
"Tuesday September 21","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1782905906438827514648437"
