"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Wednesday August 4","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650","845.6054955199360847473144531"
"Wednesday August 4","Jump-server-Abdo","160.76","1","HD#1: 500 GB","500","516.08651476539671421051025390"
"Wednesday August 4","Mis-SAP-H-DB","1601.08","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381349613890051841735840"
"Wednesday August 4","MISR-TSMS","54.92","1","HD#1: 60 GB","60","68.085877197794616222381591797"
"Wednesday August 4","Jump-Server-Moataz","27.45","1","HD#1: 100 GB","100","116.08619690872728824615478516"
"Wednesday August 4","Mis-Prod-APP-copy","440.78","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2336.3965172329917550086975097"
"Wednesday August 4","Misr-ERPPRDDB","2362.49","1","HD#1: 3072 GB","3072","3914.3841092493385076522827149"
"Wednesday August 4","RADUIS-Server","29.25","1","HD#1: 100 GB","100","108.08622580021619796752929688"
"Wednesday August 4","Mis-CAR-PRD APP Server","95.98","1","HD#1: 2048 GB","2048","2080.0943709416314959526062012"
"Wednesday August 4","frank-d35","4233.89","5","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 2048 GB, HD#5: 2048 GB","8392","8416.094193070195615291595459"
"Wednesday August 4","sofos_virtual_vm8","4.01","2","HD#1: 16 GB, HD#2: 80 GB","96","100.19046213850378990173339844"
"Wednesday August 4","el batal crm","133.82","1","HD#1: 340 GB","340","454.24749903474003076553344726"
"Wednesday August 4","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339371100068092346191406"
"Wednesday August 4","Mis-Manage","59.43","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08079949766397476196289063"
"Wednesday August 4","MIS-CRM-PRD APP Server","426.25","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413500243797898292541504"
