"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Wednesday October 6","EL-DoctorFortiGate-VM64","7.53","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08572656195610761642456055"
"Wednesday October 6","solex-S4-HANA-R5OJ-9/29","1330.16","2","HD#1: 200 GB, HD#2: 774 GB","974","1974.2626705495640635490417481"
"Wednesday October 6","Diyaa-Lap","65.73","1","HD#1: 100 GB","100","116.08515482861548662185668945"
"Wednesday October 6","Misr-Newvm","54.85","1","HD#1: 100 GB","100","108.08220438845455646514892578"
"Wednesday October 6","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Wednesday October 6","jump-hamd","17.83","1","HD#1: 300 GB","300","308.08647691179066896438598633"
"Wednesday October 6","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Wednesday October 6","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Wednesday October 6","Misr-MagentoDB1","27.95","1","HD#1: 512 GB","512","520.09376231767237186431884766"
"Wednesday October 6","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Wednesday October 6","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691124968230724334716797"
"Wednesday October 6","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Wednesday October 6","jump-ahmed","74.36","1","HD#1: 500 GB","500","508.08631103206425905227661133"
"Wednesday October 6","frank-veeamone","45.22","1","HD#1: 200 GB","200","220.09344976209104061126708984"
"Wednesday October 6","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Wednesday October 6","Jump-Server-Karim","196.86","1","HD#1: 700 GB","700","716.08688663411885499954223633"
"Wednesday October 6","sofos_virtual_vm8","29.75","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07937177456915378570556641"
"Wednesday October 6","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08622022997587919235229492"
"Wednesday October 6","Mis-Additioanal Domain","23.79","1","HD#1: 50 GB","50","54.082165988162159919738769532"
"Wednesday October 6","Misr-MTBIDEVAPP","147.02","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233720578253269195556640"
"Wednesday October 6","Misr-Web Server-copy","52.16","1","HD#1: 80 GB","80","84.08233362715691328048706055"
"Wednesday October 6","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706395141780376434326172"
"Wednesday October 6","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Wednesday October 6","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Wednesday October 6","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Wednesday October 6","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421676594763994216918946"
"Wednesday October 6","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Wednesday October 6","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Wednesday October 6","MISR-MTBIDEVDB","1072.61","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181243704631924629211425"
"Wednesday October 6","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.70","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Wednesday October 6","MISR-TSMS","55.87","1","HD#1: 60 GB","60","68.086832336150109767913818360"
"Wednesday October 6","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Wednesday October 6","Misr-TestDB","11.21","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Wednesday October 6","Mis-Prod-APP-copy","2280.84","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425556344911456108093261"
"Wednesday October 6","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Wednesday October 6","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958207800984382629394531"
"Wednesday October 6","Frank-OfficeOnline02","69.55","1","HD#1: 100 GB","100","125.08632838539779186248779297"
"Wednesday October 6","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08632052224129438400268555"
