"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Wednesday September 8","clone-nextcloud-dev-new-production","329.10","1","HD#1: 500 GB","500","818.1461502173915505409240723"
"Wednesday September 8","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360821120440959930419922"
"Wednesday September 8","IGI-AX DB","47.06","1","HD#1: 200 GB","200","202.08165438193827867507934571"
"Wednesday September 8","Elbatal-newcrm","33.00","1","HD#1: 170 GB","170","186.08504535350948572158813477"
"Wednesday September 8","Misr-TestDB","9.27","1","HD#1: 100 GB","100","104.08143782615661621093750000"
"Wednesday September 8","Misr-MagentoDB1","25.38","1","HD#1: 512 GB","512","520.09391454793512821197509766"
"Wednesday September 8","Misr-MagentoDB2","25.85","1","HD#1: 512 GB","512","520.09374419227242469787597657"
"Wednesday September 8","Misr-MagentoWeb1","15.55","1","HD#1: 256 GB","256","264.09415414463728666305541992"
"Wednesday September 8","Frank-Roaya-WebSite","24.44","1","HD#1: 300 GB","300","308.08490187861025333404541015"
"Wednesday September 8","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59607462212443351745605469"
"Wednesday September 8","Sap Router","24.08","1","HD#1: 20 GB","20","24.081062011420726776123046875"
"Wednesday September 8","Misr-MagentoWeb2","17.71","1","HD#1: 256 GB","256","264.09316177573055028915405274"
"Wednesday September 8","Solex-demo-ectr","584.82","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1012673983350396156311035"
"Wednesday September 8","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081352472305297851562500000"
"Wednesday September 8","SOLEX-SOLMAN-JAVA","123.49","1","HD#1: 300 GB","300","332.06122924201190471649169922"
"Wednesday September 8","test sophos","197.81","2","HD#1: 200 GB, HD#2: 40 GB","240","248.08652414008975028991699219"
"Wednesday September 8","ALFA-DAXRPT-COPY","633.27","1","HD#1: 650 GB","650","666.21661805361509323120117187"
