"Segment","Source","SourceSubnet","Destination","DestinationSubnet","AverageSpeedMBps"
"1","FRANK-FEM-F01","10.1.1.0/24","FRANk-RODC-01","192.168.1.0/24","93.14"
"2","FRANK-PDC","192.168.3.0/24","FRANK-FEM-F01","10.1.1.0/24","94.76"
"3","FRANK-PDC","192.168.3.0/24","FRANk-RODC-01","192.168.1.0/24","93.05"
"4","FRANK-PDC","192.168.3.0/24","FRANK-WSUS","192.168.4.0/24","92.12"
"5","FRANK-PDC","192.168.3.0/24","WP-ROOTCA","192.168.2.0/24","91.01"
"6","FRANK-WSUS","192.168.4.0/24","FRANK-FEM-F01","10.1.1.0/24","130.9"
"7","FRANK-WSUS","192.168.4.0/24","FRANk-RODC-01","192.168.1.0/24","112.8"
"8","WP-ROOTCA","192.168.2.0/24","FRANK-FEM-F01","10.1.1.0/24","110.62"
"9","WP-ROOTCA","192.168.2.0/24","FRANk-RODC-01","192.168.1.0/24","119.5"
"10","WP-ROOTCA","192.168.2.0/24","FRANK-WSUS","192.168.4.0/24","108.5"
,,,,,
