"Domain","MX","TXT","SRV","Error"
"abrahamsdescendantsafterhim.org","wp-secure-cloudmail01.worldposta.com",,,
"abrahamsdescendantsafterhim.org","wp-secure-cloudmail02.worldposta.com",,,
"abrahamsdescendantsafterhim.org","wp-secure-cloudmail03.worldposta.com",,,
"abrahamsdescendantsafterhim.org","wp-secure-cloudmail04.worldposta.com",,,
"abrahamsdescendantsafterhim.org",,"WorldPosta-verification=9mMh0jdG7l2EglQ4P2mXwxzheh5Xm6TaoupJjOQukejFjZMPgV",,
"abrahamsdescendantsafterhim.org",,"v=spf1 mx include:_spf.worldposta.com -all",,
"abrahamsdescendantsafterhim.org",,,"autodiscover.worldposta.com",
"albarakaenergy.com","wp-secure-cloudmail01.worldposta.com",,,
"albarakaenergy.com","wp-secure-cloudmail02.worldposta.com",,,
"albarakaenergy.com","wp-secure-cloudmail03.worldposta.com",,,
"albarakaenergy.com","wp-secure-cloudmail04.worldposta.com",,,
"albarakaenergy.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"albarakaenergy.com",,,"autodiscover.worldposta.com",
"alras.me","wp-secure-cloudmail03.worldposta.com",,,
"alras.me","wp-secure-cloudmail02.worldposta.com",,,
"alras.me","wp-secure-cloudmail04.worldposta.com",,,
"alras.me","wp-secure-cloudmail01.worldposta.com",,,
"alras.me",,"v=spf1 ip4:99.198.99.122 mx include:_spf.worldposta.com -all",,
"alras.me",,"MS=ms38969058",,
"alras.me",,,"autodiscover.worldposta.com",
"alsuae.com","wp-secure-cloudmail01.worldposta.com",,,
"alsuae.com","wp-secure-cloudmail02.worldposta.com",,,
"alsuae.com","wp-secure-cloudmail03.worldposta.com",,,
"alsuae.com","wp-secure-cloudmail04.worldposta.com",,,
"alsuae.com",,"v=spf1 include:spf.protection.outlook.com -all",,
"alsuae.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"alsuae.com",,"v=verifydomain MS=7546067",,
"alsuae.com",,,,"_autodiscover._tcp.alsuae.com : DNS name does not exist"
"anameischanged.info",,,,"anameischanged.info : DNS name does not exist"
"arabia-holding.com","wp-secure-cloudmail01.worldposta.com",,,
"arabia-holding.com","wp-secure-cloudmail02.worldposta.com",,,
"arabia-holding.com","wp-secure-cloudmail03.worldposta.com",,,
"arabia-holding.com","wp-secure-cloudmail04.worldposta.com",,,
"arabia-holding.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"arabia-holding.com",,,"autodiscover.worldposta.com",
"BatteryEgypt.com","",,,
"BatteryEgypt.com",,"",,
"BatteryEgypt.com",,,,"_autodiscover._tcp.BatteryEgypt.com : DNS name does not exist"
"blueskyegypt.net","wp-secure-cloudmail01.worldposta.com",,,
"blueskyegypt.net","wp-secure-cloudmail02.worldposta.com",,,
"blueskyegypt.net","wp-secure-cloudmail03.worldposta.com",,,
"blueskyegypt.net","wp-secure-cloudmail04.worldposta.com",,,
"blueskyegypt.net",,"",,
"blueskyegypt.net",,,"autodiscover.worldposta.com",
"captin-egypt.site","wp-secure-cloudmail01.worldposta.com",,,
"captin-egypt.site","wp-secure-cloudmail02.worldposta.com",,,
"captin-egypt.site","wp-secure-cloudmail03.worldposta.com",,,
"captin-egypt.site","wp-secure-cloudmail04.worldposta.com",,,
"captin-egypt.site",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"captin-egypt.site",,,"autodiscover.worldposta.com",
"captinegypt.site",,,,"captinegypt.site : DNS name does not exist"
"checkwpcloudmail.com",,,,"checkwpcloudmail.com : DNS name does not exist"
"cleopatraluxurysharm.com","wp-secure-cloudmail01.worldposta.com",,,
"cleopatraluxurysharm.com","wp-secure-cloudmail02.worldposta.com",,,
"cleopatraluxurysharm.com","wp-secure-cloudmail03.worldposta.com",,,
"cleopatraluxurysharm.com","wp-secure-cloudmail04.worldposta.com",,,
"cleopatraluxurysharm.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"cleopatraluxurysharm.com",,,"autodiscover.worldposta.com",
"clipbucket.net","wp-secure-cloudmail04.worldposta.com",,,
"clipbucket.net","wp-secure-cloudmail02.worldposta.com",,,
"clipbucket.net","wp-secure-cloudmail03.worldposta.com",,,
"clipbucket.net","wp-secure-cloudmail01.worldposta.com",,,
"clipbucket.net",,"teDJTNtrd95bL84rHLMMKlT7XIoPwIp-eoI9TNt9p4c",,
"clipbucket.net",,"v=spf1 ip4:69.61.26.189 ip4:107.181.169.122 +a +mx +ip4:69.61.26.190 +include:_spf.worldposta.com ~all",,
"clipbucket.net",,,,"_autodiscover._tcp.clipbucket.net : DNS name does not exist"
"com7.com.au","wp-secure-cloudmail02.worldposta.com",,,
"com7.com.au","wp-secure-cloudmail04.worldposta.com",,,
"com7.com.au","wp-secure-cloudmail03.worldposta.com",,,
"com7.com.au","wp-secure-cloudmail01.worldposta.com",,,
"com7.com.au",,"v=spf1 mx include:_spf.worldposta.com -all",,
"com7.com.au",,"WorldPosta-verification=qXTip5R0tBa9bp5iLMZc8gcaBUKH0nz8dIO8fzjjS6IAfwtyov",,
"com7.com.au",,,"autodiscover.worldposta.com",
"combatmedic.net","combatmedic-net.mail.protection.outlook.com",,,
"combatmedic.net",,"v=spf1 include:spf.protection.outlook.com -all",,
"combatmedic.net",,"MS=ms54142057",,
"combatmedic.net",,"google-site-verification=u19IKEfLPUOkf3tfPouz5Uvd5njN5VOnHM56Ye0tYtk",,
"combatmedic.net",,,,"_autodiscover._tcp.combatmedic.net : DNS name does not exist"
"Dorraresale.org","wp-secure-cloudmail01.worldposta.com",,,
"Dorraresale.org","wp-secure-cloudmail02.worldposta.com",,,
"Dorraresale.org","wp-secure-cloudmail03.worldposta.com",,,
"Dorraresale.org","wp-secure-cloudmail04.worldposta.com",,,
"Dorraresale.org",,"v=spf1 mx include:_spf.worldposta.com -all",,
"Dorraresale.org",,,"autodiscover.worldposta.com",
"eeziclean.com","eeziclean-com.mail.protection.outlook.com",,,
"eeziclean.com",,"v=spf1 include:spf.protection.outlook.com -all",,
"eeziclean.com",,"MS=ms86728230",,
"eeziclean.com",,,"",
"eeziclean.com",,,"",
"elixirpharma-eg.com","wp-secure-cloudmail04.worldposta.com",,,
"elixirpharma-eg.com","wp-secure-cloudmail02.worldposta.com",,,
"elixirpharma-eg.com","wp-secure-cloudmail03.worldposta.com",,,
"elixirpharma-eg.com","wp-secure-cloudmail01.worldposta.com",,,
"elixirpharma-eg.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"elixirpharma-eg.com",,,"autodiscover.worldposta.com",
"elwatnya-co.com","wp-secure-cloudmail01.worldposta.com",,,
